ID,User,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
846872232748109825,ToniSKZ,2017-03-28 23:50:49,Que encarcelen a alguien por hacer chistes sobre Carrero Blanco me parece totalmente ridículo desde todos los aspectos.,465,85,3039,4383,Pacific Time (US & Canada),Mdd
846870952185135108,Peregrinx,2017-03-28 23:45:43,RT @dalequetepego: Dos noticias juntas se entienden mejor (y cabrean más) https://t.co/RjSe1g0Jfk https://t.co/oR2tQKIuum,105,11,68,37,Madrid,
846870843544260608,ferotecas,2017-03-28 23:45:17,"RT @alguien_neutral: @_infoLibre Magnífica frivolidad! Esto no es burlarse de las víctimas del genocidio?  Claro, como no afecta a Carrero…",1215,1011,44777,9344,Pacific Time (US & Canada),Vigo-Galicia
846870007145517060,DanielHermetico,2017-03-28 23:41:58,Regalémosle un cosplay de Carrero Blanco al bus de HazteOír cuando pasé por Sevilla mañana.,707,872,53731,11754,Athens,ɨռռɛʀաօʀʟɖ | ѧяm•psєċ 
846866106224689153,MrGris949,2017-03-28 23:26:28,@Antoniogestion de todos modos solo hacen algo si te metes con carrero blanco o con alguna otra figura de esa tonalidad.😉,57,33,4798,2716,,Mmm... creo que me perdí
846865863412236289,fandelat3,2017-03-28 23:25:30,"RT @AntonioMaestre: Dice el fiscal Torrijos que la nieta de Carrero Blanco no es quién para decir si se siente ofendida, que para eso está…",58,1138,151395,37448,Athens,Lluitant per un món millor.
846865782437007360,fandelat3,2017-03-28 23:25:11,"RT @guille_lorca: -Están hiriendo los sentimientos de la familia de Carrero Blanco!

-Soy su nieta, y... la verdad es que no.

-Tú te calla…",58,1138,151395,37448,Athens,Lluitant per un món millor.
846865253161951232,CJuanatey,2017-03-28 23:23:05,"RT @LekaconK: CARRERO BLANCO EN UN TAXI:

- Por favor, a la calle Mayor.

- ¿A qué altura le dejo?

- Ya vale con la coña.",2496,1289,12627,1016,Greenland,Compostela
846863366073335809,deathlesssong,2017-03-28 23:15:35,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",226,182,16549,15762,,"Palacios del Sil, España"
846860569856692224,JuanmaMM98,2017-03-28 23:04:28,"RT @ComeHerePuthes: Ya que insta no deja subirlo por copy lo subo aqui xd

Carrero Blanco ministro naval
tenia un sueño volar y volar!!

Va…",191,45,1283,653,,
846859028760313856,irene_3098,2017-03-28 22:58:20,"RT @swantxo: ""A buscar aparcamiento ajjaj""

Carrero Blanco

*me la acabo de inventar pero ojalá",873,1429,33452,58246,Amsterdam,Lleida/Londres
846858304504676352,M1GU3L_MP,2017-03-28 22:55:28,RT @suggarmarxist: &gt;araña por unos chistes de carrero blanco. Recibió bastante apoyo y tal y se suponía que hoy iba a declarar.,1654,1082,26542,11704,Madrid,"Irun, Euskal Herria"
