ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
beache22,beache22,1081,366,16557,7193,,
ibosim,ibosim,59,108,7483,704,Madrid,Sant Antoni
PanucciTucci,PanucciTucci,172,24,225,72,,Sevilla .Triana
jrgv_,jrgv_,881,1144,40733,3387,Madrid,Entre Ponferrada y Burgos.
Theheavydario,Theheavydario,341,420,38664,31878,,Picassent. País Valencià
betito_diablito,betito_diablito,202,47,3674,751,,
tort77,tort77,2178,1147,23212,15666,,"Barcelona, Catalunya"
Rxarvixw,Rxarvixw,294,110,6454,645,Pacific Time (US & Canada),"Ayamonte, España"
MiraLomax,MiraLomax,158,110,9430,5684,,Madrid
mrsannco,mrsannco,62,90,33348,6558,Madrid,Profundidades de R'lyeh
marman7,marman7,208,114,1231,539,Madrid,
toxicosmos_,toxicosmos_,1086,1522,58189,42783,Amsterdam,Madrid
OmarCordova12,OmarCordova12,119,91,2333,2737,,"Sevilla, España"
CurritoZarco,CurritoZarco,487,530,16478,20602,Pacific Time (US & Canada),"Stalingrad, URSS"
EBL31800081,EBL31800081,314,212,3363,480,Madrid,
RIESCO7,RIESCO7,169,138,11007,2010,Casablanca,Los santos-Vinewood 
RastrisMan,RastrisMan,918,214,28505,7893,Madrid,Madrid
hammamra7,hammamra7,20725,20520,5196,5194,Madrid,We're Everywhere!
irrealgrrrrl,irrealgrrrrl,302,441,24365,16191,Madrid,Darillium.
sicre98,sicre98,409,450,4743,1450,,Ferrol
pauldenewcastle,pauldenewcastle,356,92,5071,11924,,Caudiel
TioCamunyas,TioCamunyas,1855,759,9166,235,,Cagando encima de La Meca
yeclangel,yeclangel,262,315,12946,9461,,Yecla
marianmontielr,marianmontielr,846,617,35247,2746,Athens,
suicidedepths,suicidedepths,113,192,28466,4618,Belgrade,Alecia y Lorena
RebelCitizen_,RebelCitizen_,430,114,1923,229,,La Bastilla 1789
MarcGG1974,MarcGG1974,277,260,11419,23463,,
nataliaddg,nataliaddg,1798,1150,47167,24177,Athens,
Karolinaetxea,Karolinaetxea,3147,1817,21082,2214,Madrid,BILBAO
Martabg17,Martabg17,675,955,27000,240,Madrid,"Mandayona, Guadalajara."
nohxpe_,nohxpe_,223,662,53575,10104,Athens,salud y república
GcRosendo,GcRosendo,238,342,10791,2637,Amsterdam,
evaristorotten,evaristorotten,714,588,19896,1975,,"Ponferrada,(León) España"
pedromi82,pedromi82,265,114,84,61,Greenland,"Murcia, España"
GonzaloOria,GonzaloOria,1308,767,26688,14731,Madrid,Valhalla
Teconleche3,Teconleche3,116,26,2176,534,,
alipmv27,alipmv27,452,1666,33923,22177,Amsterdam,València.
Carla90PM,Carla90PM,345,201,3384,5311,Athens,Vigo
AdriiVillegas,AdriiVillegas,90,166,8222,10323,Athens,Málaga
FiameL3,FiameL3,377,80,6891,2614,,Andalucía
bitacoramaldito,bitacoramaldito,232,791,35539,15792,Madrid,Madrid
___coexist___,___coexist___,107,57,1944,2575,Madrid,
SmOOG2o11,SmOOG2o11,1969,523,11573,1770,Madrid,
Jorgeqp98,Jorgeqp98,1738,941,38638,15854,Madrid,Room 101
angsimpa,angsimpa,3974,4419,330795,129470,Madrid,
MissHedone,MissHedone,657,1497,154560,36152,Madrid,Sala común de Slytherin
OscarVV,OscarVV,593,384,52057,44969,Madrid,"Valladolid, Castille and León"
JuanIgnaMedina,JuanIgnaMedina,837,3474,6707,234,Madrid,"Madrid, ESPAÑA"
danwasd_,danwasd_,384,149,5733,5059,Pacific Time (US & Canada),"Bilbo, Euskal Errepublika"
sojantonio,sojantonio,583,159,556,163,Madrid,"Zafra, España"
Don_Ruben_96,Don_Ruben_96,167,221,10352,5072,,
CarMasajocar,CarMasajocar,548,168,5064,4557,,Cadiz I Const. Española 1812
Forgottenhands,Forgottenhands,253,472,78329,54104,Madrid,Exiled / Madrid
portalrubiero,portalrubiero,225,264,9362,123,,En la cola del paro
JuanBorge,JuanBorge,73,84,2545,52,,
aleranvi,aleranvi,522,159,8399,2784,Athens,Galicia
Pot_Vidal,Pot_Vidal,500,194,10873,985,Madrid,"Alicante, España"
IMP_Manuel,IMP_Manuel,182,122,2721,1111,Athens,
recover85,recover85,611,184,4692,1875,,
Cpt_Democracia,Cpt_Democracia,1633,1715,21465,11455,,"Barcelona, España"
victoriadali53,victoriadali53,3338,3316,39979,6258,Caracas,VENEZUELA
BeatrizGimeno1,BeatrizGimeno1,364,14483,28264,2362,,madrid
ISCabreado,ISCabreado,189,103,1460,9,Amsterdam,
soneira89,soneira89,619,352,13336,1422,Madrid,"Galicia, España"
YORYO25MD,YORYO25MD,644,627,99101,2682,,"Madrid, Villa Vallecas"
Marisol_Juglara,Marisol_Juglara,2105,451,14902,320,Madrid,España
aaron_pkl,aaron_pkl,70,93,5779,1404,London,Estoy se León sity
QuebeboAge,QuebeboAge,147,34,1438,1327,,
tsdelaestrella,tsdelaestrella,964,568,11482,189,,
edcorreo,edcorreo,507,116,2152,10599,London,
mix_martes86,mix_martes86,474,248,23306,4475,Amsterdam,Some place with no feelings
MotrilGaspi,MotrilGaspi,273,53,739,27,,Motril
davidrod689,davidrod689,240,231,11525,18283,,
