ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
ToniSKZ,ToniSKZ,465,85,3039,4383,Pacific Time (US & Canada),Mdd
Peregrinx,Peregrinx,105,11,68,37,Madrid,
ferotecas,ferotecas,1215,1011,44777,9344,Pacific Time (US & Canada),Vigo-Galicia
DanielHermetico,DanielHermetico,707,872,53731,11754,Athens,ɨռռɛʀաօʀʟɖ | ѧяm•psєċ 
MrGris949,MrGris949,57,33,4798,2716,,Mmm... creo que me perdí
fandelat3,fandelat3,58,1138,151395,37448,Athens,Lluitant per un món millor.
CJuanatey,CJuanatey,2496,1289,12627,1016,Greenland,Compostela
deathlesssong,deathlesssong,226,182,16549,15762,,"Palacios del Sil, España"
JuanmaMM98,JuanmaMM98,191,45,1283,653,,
irene_3098,irene_3098,873,1429,33452,58246,Amsterdam,Lleida/Londres
M1GU3L_MP,M1GU3L_MP,1654,1082,26542,11704,Madrid,"Irun, Euskal Herria"
IrisDM7,IrisDM7,281,445,12846,1982,Greenland,en extinción
prazadorei,prazadorei,359,374,16236,3788,Madrid,"Vigo, Pontevedra, Galiza."
ANTONIACUE,ANTONIACUE,1674,1668,220947,17784,,ESPAÑA
MadeInYW,MadeInYW,232,2760,49912,25979,Pacific Time (US & Canada),Nowhere
KARLOSGARCIA75,KARLOSGARCIA75,221,403,34119,46830,,
bette_noir__,bette_noir__,2764,1269,59702,24324,Athens,
penefurtivo,penefurtivo,107,36,164,629,,Jaén
Aidape_96,Aidape_96,633,664,11795,6266,London,Fleet Street
bobfabulosa,bobfabulosa,294,428,11378,11392,Athens,Talavera no es España.
CayedoggPs4,CayedoggPs4,407,402,20110,2961,,Las Torres Gemelas
raeworld11,raeworld11,92,81,2509,3199,Madrid,
42franmarma,42franmarma,1996,2136,87922,36311,Belgrade,"Andalucía, sevilla"
PewPewGrrrl,PewPewGrrrl,501,8842,420056,275657,Madrid,veganismo o barbarie Ⓥ
zakhidgtg9bog,zakhidgtg9bog,31,7,329,273,,
LittleOne_Beibi,LittleOne_Beibi,499,1369,44604,38271,Amsterdam,VALENCIA - MADRID.
skazofrenico,skazofrenico,158,421,46801,27151,,Estamos en esto por las drogas
Lourdes180679,Lourdes180679,1962,1966,30301,30869,,
victor_more1,victor_more1,1195,760,26255,6209,Madrid,"Valladolid, Castilla "
FranSolano,FranSolano,579,1239,16337,1053,Madrid,Lorca
PatrySanroman,PatrySanroman,276,131,4979,444,,
GuillemGirona,GuillemGirona,907,372,6900,405,Athens,Girona
Pardehuevos_,Pardehuevos_,419,998,14040,6727,Pacific Time (US & Canada),Mestalla~Stamford Bridge 
celiama9,celiama9,532,77,230,5,,
jordigil96,jordigil96,414,410,25934,31550,Madrid,Deepweb
MathewStrat,MathewStrat,254,436,45820,74246,,The nineteenth floor
Alej037,Alej037,26,35,4275,1892,Pacific Time (US & Canada),
cesvlc,cesvlc,387,848,136476,2371,Madrid,"el Poble Sec, Barcelona"
DoktorZero,DoktorZero,228,825,54828,12846,Madrid,Valenciano en Salou
duotrece,duotrece,356,131,16118,36854,Athens,"Cataluña, España"
Kid_letro,Kid_letro,683,940,105800,55007,,
JorgeOtolio,JorgeOtolio,208,118,5033,3301,Europe/Prague,"České Budějovice, Rep. Checa"
AirMaxDon,AirMaxDon,999,1102,112012,35973,Ljubljana,Internet
_ju1_,_ju1_,1851,50071,119057,109510,Athens,"Alicante, España"
Gabrielestan,Gabrielestan,492,816,6118,1854,Ljubljana,"Torrevieja, mi ciudad."
MarioRMMM,MarioRMMM,294,293,17811,3740,Madrid,Madrid
paco_cambra,paco_cambra,258,265,1501,1597,Athens,
DrSamoano,DrSamoano,430,78,4183,6277,,"Santiago de Compostela, España"
surrendermin20,surrendermin20,100,66,9635,3300,Madrid,BCN
pablo6814,pablo6814,276,107,3981,1341,,"Detroit, MI"
JDCarracedo,JDCarracedo,1306,2030,4294,1457,Athens,"Bilbao, Euskadi"
ThunderKiiwi,ThunderKiiwi,232,783,83443,2930,Amsterdam,Monopolizando tu TL.
Ygritte_Snow,Ygritte_Snow,226,2880,157632,4298,Madrid,Pueblo Libre (País Valencià)
twittaghan,twittaghan,40,91,10416,2953,Athens,
Tofol1914,Tofol1914,205,260,48029,34316,,
Vii1,Vii1,466,434,63999,7936,Madrid,"Madrid, Vía Láctea"
DeathGunMLG,DeathGunMLG,429,168,2384,3412,Pacific Time (US & Canada),Grand Line
SBMontero,SBMontero,1255,904,54162,5263,Azores,Poldavia
EnrikeTheGame,EnrikeTheGame,681,798,43289,31406,Madrid,Graná
toled_ana,toled_ana,43,25,439,922,,
EnRoMayor,EnRoMayor,138,175,4539,2506,Pacific Time (US & Canada),Por ahi
francescoromeo4,francescoromeo4,261,104,7726,78,,España
ShinMadori,ShinMadori,1120,613,212485,20515,Athens,"Side 3, SIEG ZEON!"
fragmentajes,fragmentajes,224,212,13934,569,Greenland,"Bela Vista, SP"
AlexPowerUp,AlexPowerUp,437,992,108446,26865,Madrid,old and bearded lady
rnrlx_bot,rnrlx_bot,1,75,2773,34,Pacific Time (US & Canada),Enlightened Union
SadGuts,SadGuts,275,244,24188,20171,,"A Coruña, España"
antonio_cera,antonio_cera,121,76,1127,954,,
Pablo200206,Pablo200206,81,20,1077,248,,España
marioregueira,marioregueira,893,1464,9559,3334,Madrid,Galiza
Janml99,Janml99,115,127,3025,1352,Madrid,Der Riese
Alex_Subii,Alex_Subii,290,75,530,1875,,
adridibasket,adridibasket,226,166,5249,1749,,gandia
bilduman90,bilduman90,189,564,141592,100,,
pepipussa,pepipussa,224,129,7991,310,,BDN
Greevilr,Greevilr,1352,548,26849,16638,Amsterdam,"Écija, España"
RunemasterLiam,RunemasterLiam,361,333,5247,4107,Amsterdam,Mordor del sur
FernandoVega98,FernandoVega98,202,265,6084,3242,,La Isla
Sandrii_kitty,Sandrii_kitty,177,181,16559,993,Madrid,Somewhere in Neverland
