ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
RebelCitizen_,RebelCitizen_,2017-03-29 23:59:14,"RT @gerar666: Prohibido hacer chistes sobre el fascista Carrero Blanco porque, para chiste, nuestro país.
#YoSoyCassandra https://t.co/cY20…",430,114,1923,229,,La Bastilla 1789
MarcGG1974,MarcGG1974,2017-03-29 23:59:12,"RT @SiPeroNo1: El Bar Mikeldi de Bilbao lo cerraron seis meses en 1.973 por un chiste sobre Carrero Blanco. 43 años más tarde, siguen manda…",277,260,11419,23463,,
nataliaddg,nataliaddg,2017-03-29 23:59:11,"RT @chselles: Para que quede claro: Carrero Blanco, víctima; los 114.000 desaparecidos del franquismo, pasado",1798,1150,47167,24177,Athens,
Karolinaetxea,Karolinaetxea,2017-03-29 23:59:08,"RT @RobertoVegaRam2: ""Carrero Blanco"" #CassandraLibre firmad y compartid por favor! Muchas gracias! 💜✊😃https://t.co/kKOJdbnu34",3147,1817,21082,2214,Madrid,BILBAO
Martabg17,Martabg17,2017-03-29 23:59:06,RT @iunida: ¿Carrero Blanco también regresó al futuro con su coche? #YoSoyCassandra,675,955,27000,240,Madrid,"Mandayona, Guadalajara."
nohxpe_,nohxpe_,2017-03-29 23:59:05,"RT @chselles: Para que quede claro: Carrero Blanco, víctima; los 114.000 desaparecidos del franquismo, pasado",223,662,53575,10104,Athens,salud y república
GcRosendo,GcRosendo,2017-03-29 23:59:04,"RT @miky_co: En el tema de Cassandra lo 1º es aclarar si Carrero Blanco es ""víctima del terrorismo"". ¿La lucha armada contra una dictadura…",238,342,10791,2637,Amsterdam,
ibosim,ibosim,2017-03-29 23:59:04,RT @ForretsGump: Nunca echaría una lágrima por Hitler como nunca la echaría por Carrero Blanco. En España se protege mas a los dictadores q…,59,108,7483,704,Madrid,Sant Antoni
evaristorotten,evaristorotten,2017-03-29 23:58:57,"Momentazo,viendo Cuéntame repetido y es el capítulo en el que acaba de volar Carrero Blanco.",714,588,19896,1975,,"Ponferrada,(León) España"
pedromi82,pedromi82,2017-03-29 23:58:56,RT @_ju1_: En pleno franquismo se condenaba a penas menores por injuriar a Carrero Blanco que hoy a Cassandra (TOP de 1974) https://t.co/OS…,265,114,84,61,Greenland,"Murcia, España"
GonzaloOria,GonzaloOria,2017-03-29 23:58:56,"Hacer chistes de Carrero Blanco está bien.
Pero estaría mejor que alguna organización de la izquierda organizase algo contra la represión",1308,767,26688,14731,Madrid,Valhalla
marianmontielr,marianmontielr,2017-03-29 23:58:55,RT @VictorGonz54: Condena de UN AÑO de prisión a Cassandra por 13 twitts de Carrero Blanco ... Ups! Perdón esta no es la imagen ⤵⤵ #Iglesia…,846,617,35247,2746,Athens,
Teconleche3,Teconleche3,2017-03-29 23:58:54,RT @laurited: Al pavo que le dio la paliza a la novia en el portal de su edificio 9 meses de cárcel y a Cassandra por chistes de Carrero Bl…,116,26,2176,534,,
alipmv27,alipmv27,2017-03-29 23:58:54,"RT @chselles: Para que quede claro: Carrero Blanco, víctima; los 114.000 desaparecidos del franquismo, pasado",452,1666,33923,22177,Amsterdam,València.
Carla90PM,Carla90PM,2017-03-29 23:58:48,Qué cosas que están echando en Clan el capítulo de Carrero Blanco...,345,201,3384,5311,Athens,Vigo
AdriiVillegas,AdriiVillegas,2017-03-29 23:58:47,"RT @ulises_sevilla: - y a ti, ¿por qué te encerraron?
- chistes de Carrero Blanco, ¿y tú?
- títeres https://t.co/mMm3GYkRxZ",90,166,8222,10323,Athens,Málaga
FiameL3,FiameL3,2017-03-29 23:58:46,"RT @albacorazonegro: La Declaración d los DDHH recoge el derecho d rebelión por la fuerza ante la tiranía,y Carrero Blanco era el sucesor d…",377,80,6891,2614,,Andalucía
bitacoramaldito,bitacoramaldito,2017-03-29 23:58:41,RT @gordocontrapo: Cambiar el pie del final de los créditos del principio de Monty Python's Flying Circus por el coche de Carrero Blanco.,232,791,35539,15792,Madrid,Madrid
___coexist___,___coexist___,2017-03-29 23:58:39,"RT @revistamongolia: Nos envían a nuestro mail, nuevos chistes de Carrero Blanco muy muy divertidos. No son Spam pero son pura basura https…",107,57,1944,2575,Madrid,
SmOOG2o11,SmOOG2o11,2017-03-29 23:58:38,"Podemos Mislata @mislatapodem 🐐 Blanco✨😎#SolidaridadCassandra🙆   
🕵️‍♀️ #GeorgeNews🕵️re-publicó 🤔 … https://t.co/muy1nHiZcZ",1969,523,11573,1770,Madrid,
Jorgeqp98,Jorgeqp98,2017-03-29 23:58:36,"RT @HermanosPelaez: A ver si lo entiendo:
¿Tiene más condena hacer chistes sobre la muerte de Carrero Blanco QUE MATAR A CARRERO BLANCO?? h…",1738,941,38638,15854,Madrid,Room 101
angsimpa,angsimpa,2017-03-29 23:58:36,"RT @SiPeroNo1: El Bar Mikeldi de Bilbao lo cerraron seis meses en 1.973 por un chiste sobre Carrero Blanco. 43 años más tarde, siguen manda…",3974,4419,330795,129470,Madrid,
MissHedone,MissHedone,2017-03-29 23:58:35,"RT @Cazatalentos: El chiste es lo de menos. La finalidad de la condena a Cassandra no es otra, que aterrorizar a la población. 
Carrero Bla…",657,1497,154560,36152,Madrid,Sala común de Slytherin
OscarVV,OscarVV,2017-03-29 23:58:34,RT @AnitaBotwin: Sólo hay un fallo en lo de Carrero Blanco. Que no fuera Franco de copiloto.,593,384,52057,44969,Madrid,"Valladolid, Castille and León"
JuanIgnaMedina,JuanIgnaMedina,2017-03-29 23:58:31,ALMIRANTE DON LUIS CARRERO BLANCO ¡¡¡¡ PRESENTE!!! ¡¡¡ ARRIBA ESPAÑA!!! ¡¡¡ VIVA FRANCO!!! #YoSoyCassandra,837,3474,6707,234,Madrid,"Madrid, ESPAÑA"
danwasd_,danwasd_,2017-03-29 23:58:27,RT @elmundotoday: Francisco Franco condena a un año de cárcel a una tuitera por hacer chistes sobre Carrero Blanco https://t.co/okckZgltId…,384,149,5733,5059,Pacific Time (US & Canada),"Bilbo, Euskal Errepublika"
sojantonio,sojantonio,2017-03-29 23:58:25,"RT @_ju1_: Pero vamos, lo de Cassandra, Carrero Blanco y todo este crecimiento de la reacción lo explica muy bien Evaristo https://t.co/cd8…",583,159,556,163,Madrid,"Zafra, España"
Don_Ruben_96,Don_Ruben_96,2017-03-29 23:58:25,RT @DxncingForRain: No vayáis de superiores por tener el B1 que Carrero Blanco con el C4 llegó mucho más alto,167,221,10352,5072,,
angsimpa,angsimpa,2017-03-29 23:58:25,"RT @SiPeroNo1: ""Les aconsejamos que tomen tinto, porque el blanco está por las nubes"": Chiste sobre Carrero que le costó 6 meses de cierre…",3974,4419,330795,129470,Madrid,
CarMasajocar,CarMasajocar,2017-03-29 23:58:24,"Cassandra &amp; Carrero Blanco

Vuelve la censura !!

Agudiza para decir lo que quieres en 140 caráct. sin que el Fisca… https://t.co/hj16tIYreO",548,168,5064,4557,,Cadiz I Const. Española 1812
Forgottenhands,Forgottenhands,2017-03-29 23:58:23,RT @pablovi3: Con todos los chistes de Carrero Blanco van a tener que abrir una cárcel especializada en chistes porque no vamos a caber.,253,472,78329,54104,Madrid,Exiled / Madrid
