ID,User,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
846511416035168259,civiscivil,2017-03-27 23:57:03,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,1873,496,10419,580,Madrid,
846511333155721216,CedixSoyYo,2017-03-27 23:56:43,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",74,63,369,113,,
846510447977271296,libres_domingas,2017-03-27 23:53:12,"RT @ComeHerePuthes: Ya que insta no deja subirlo por copy lo subo aqui xd

Carrero Blanco ministro naval
tenia un sueño volar y volar!!

Va…",568,686,18843,11385,Pacific Time (US & Canada),ojalá en un concierto
846510325453258752,ComeHerePuthes,2017-03-27 23:52:43,"Ya que insta no deja subirlo por copy lo subo aqui xd

Carrero Blanco ministro naval
tenia un sueño volar y volar!!… https://t.co/zuiE5o4wQ6",57,59,193,23,,"Galicia, España"
846510282067333122,soymutonto,2017-03-27 23:52:33,@Payaser dile a la policía que no para de hacer chistes de carrero blanco y acabas antes.,135,60,2239,567,Pacific Time (US & Canada),
846509338214715393,DanielHermetico,2017-03-27 23:48:48,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,707,872,53732,11754,Athens,ɨռռɛʀաօʀʟɖ | ѧяm•psєċ 
846508640764936193,QueroGr,2017-03-27 23:46:01,RT @Xuxipc: ÚLTIMA HORA: La Fiscalía pide resucitar a Tip y Coll para poder juzgarles por este chiste sobre Carrero Blanco. https://t.co/NA…,1439,1201,102216,22955,,
846507936193105921,Franciscoalbaca,2017-03-27 23:43:14,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,454,541,60271,38477,,
846507891200835588,Payaser,2017-03-27 23:43:03,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,772,28204,92871,151771,Madrid,"Texas, USA, Barcelona "
846507752839098368,AmigosProgresis,2017-03-27 23:42:30,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,1253,681,10510,2638,Europe/Madrid,Alcorcon
846507281525170178,BoigDelTerrat,2017-03-27 23:40:37,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,580,193,9540,8664,Madrid,Mira detrás de ti.
846507213426491392,clemente_al,2017-03-27 23:40:21,RT @Xuxipc: Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,2198,1410,74883,8062,Pacific Time (US & Canada),"Islas Canarias, España"
846507082551562242,ComeHerePuthes,2017-03-27 23:39:50,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",57,59,193,23,,"Galicia, España"
846507069045985280,squantum1714,2017-03-27 23:39:47,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",72,172,62312,467,,
846507023323803648,Xuxipc,2017-03-27 23:39:36,Skynet tomando conciencia de sí misma y mandando un Terminator al pasado a contar chistes de Carrero Blanco.,277,73928,72879,59839,Athens,Zamora
846506861675335680,MinatoBestDaddy,2017-03-27 23:38:57,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",399,1698,94100,148243,Madrid,Rakuzan/HOMRA/Kiheitai
846506723200454656,__Maiq,2017-03-27 23:38:24,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",459,460,132113,214506,Edinburgh,Grixis - Boros
846506081744551938,redlipsexotic,2017-03-27 23:35:51,RT @daviniaweasley: Y estas cosas no las podemos denunciar @policia? O solo se va a cárcel si se habla de Carrero Blanco? https://t.co/mO0I…,1127,666,32114,7465,Madrid,seville
846506078665932801,libres_domingas,2017-03-27 23:35:51,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",568,686,18843,11385,Pacific Time (US & Canada),ojalá en un concierto
846505328560787456,andoni_o,2017-03-27 23:32:52,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",1779,1116,73370,33378,,Eskual rock n rollin
846504779576754176,jonedgdg,2017-03-27 23:30:41,"RT @Garrosa: Año 95, ETA atenta contra Aznar y sale el ""bombazo mix"". Nadie se escandalizó. Hoy se juzgan unos tuits sobre Carrero Blanco.…",258,124,3869,7852,,
846504232517820416,EstebanEmilia,2017-03-27 23:28:30,RT @Xuxipc: ÚLTIMA HORA: La Fiscalía pide resucitar a Tip y Coll para poder juzgarles por este chiste sobre Carrero Blanco. https://t.co/NA…,5001,2481,31027,30768,,Ponferrada
846503779453321220,m_donis,2017-03-27 23:26:42,RT @Xuxipc: ÚLTIMA HORA: La Fiscalía pide resucitar a Tip y Coll para poder juzgarles por este chiste sobre Carrero Blanco. https://t.co/NA…,1710,1186,75111,1514,Athens,
846503407414362112,lolaq20,2017-03-27 23:25:14,RT @Xuxipc: ÚLTIMA HORA: La Fiscalía pide resucitar a Tip y Coll para poder juzgarles por este chiste sobre Carrero Blanco. https://t.co/NA…,4521,5543,70121,2005,Athens,
846501879643287553,TruloxD,2017-03-27 23:19:10,Acabo de ver el Carrero Blanco Shooting Star y me ha dado un ataque de risa considerable,201,356,27699,8583,Pacific Time (US & Canada),
846498795735126016,RojoDemagogo,2017-03-27 23:06:54,Mas vale pajaro en mano que chiste de carrero blanco,174,61,1588,532,,
846498473717456897,FlashNoseCat,2017-03-27 23:05:37,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",354,367,19385,3415,Azores,
846497849445539840,joserayab,2017-03-27 23:03:09,Me ha gustado un vídeo de @YouTube de @unosmemiyos (https://t.co/9cV7pC5E4H - Carrero Blanco | Shooting Stars - @unosMemiyos).,1085,739,35382,7561,Madrid,Córdoba
846496597659860992,ALCNovelda,2017-03-27 22:58:10,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",519,607,8461,66536,Madrid,Novelda
846496543041605632,ALCNovelda,2017-03-27 22:57:57,RT @eljueves: En el nuevo trailer de DC se ve como la Liga de la Justicia salva al mundo persiguiendo a tuiteros que hacen chistes de Carre…,519,607,8461,66536,Madrid,Novelda
846496243136282630,MaripazSDR,2017-03-27 22:56:46,"RT @JDCarracedo: #CassandraLibre La libertad de expresión no es un delito y el humor negro tampoco, aunque no nos guste. https://t.co/aGftL…",2378,1551,72426,14284,,Getafe
846495060153815040,huelgadehambre9,2017-03-27 22:52:04,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",4869,1168,16009,6741,,
846494842549157889,cagigos_mamen,2017-03-27 22:51:12,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",88,113,5108,12652,,
846494177126961153,tonnirubio88,2017-03-27 22:48:33,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",1432,1510,57483,15628,,Andalucía
846493991092862976,garcijarvar,2017-03-27 22:47:49,Se pueden hacer chistes sobre Carrero Blanco ya o está la cosa todavía en el aire?,519,1460,132563,68949,Madrid,Matrix (Provincia de Albacete)
846493632374984704,psicolengua,2017-03-27 22:46:23,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",4618,2158,17736,3925,Madrid,Madrid
