ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
civiscivil,civiscivil,1873,496,10419,580,Madrid,
CedixSoyYo,CedixSoyYo,74,63,369,113,,
libres_domingas,libres_domingas,568,686,18843,11385,Pacific Time (US & Canada),ojalá en un concierto
ComeHerePuthes,ComeHerePuthes,57,59,193,23,,"Galicia, España"
soymutonto,soymutonto,135,60,2239,567,Pacific Time (US & Canada),
DanielHermetico,DanielHermetico,707,872,53732,11754,Athens,ɨռռɛʀաօʀʟɖ | ѧяm•psєċ 
QueroGr,QueroGr,1439,1201,102216,22955,,
Franciscoalbaca,Franciscoalbaca,454,541,60271,38477,,
Payaser,Payaser,772,28204,92871,151771,Madrid,"Texas, USA, Barcelona "
AmigosProgresis,AmigosProgresis,1253,681,10510,2638,Europe/Madrid,Alcorcon
BoigDelTerrat,BoigDelTerrat,580,193,9540,8664,Madrid,Mira detrás de ti.
clemente_al,clemente_al,2198,1410,74883,8062,Pacific Time (US & Canada),"Islas Canarias, España"
squantum1714,squantum1714,72,172,62312,467,,
Xuxipc,Xuxipc,277,73928,72879,59839,Athens,Zamora
MinatoBestDaddy,MinatoBestDaddy,399,1698,94100,148243,Madrid,Rakuzan/HOMRA/Kiheitai
__Maiq,__Maiq,459,460,132113,214506,Edinburgh,Grixis - Boros
redlipsexotic,redlipsexotic,1127,666,32114,7465,Madrid,seville
andoni_o,andoni_o,1779,1116,73370,33378,,Eskual rock n rollin
jonedgdg,jonedgdg,258,124,3869,7852,,
EstebanEmilia,EstebanEmilia,5001,2481,31027,30768,,Ponferrada
m_donis,m_donis,1710,1186,75111,1514,Athens,
lolaq20,lolaq20,4521,5543,70121,2005,Athens,
TruloxD,TruloxD,201,356,27699,8583,Pacific Time (US & Canada),
RojoDemagogo,RojoDemagogo,174,61,1588,532,,
FlashNoseCat,FlashNoseCat,354,367,19385,3415,Azores,
joserayab,joserayab,1085,739,35382,7561,Madrid,Córdoba
ALCNovelda,ALCNovelda,519,607,8461,66536,Madrid,Novelda
MaripazSDR,MaripazSDR,2378,1551,72426,14284,,Getafe
huelgadehambre9,huelgadehambre9,4869,1168,16009,6741,,
cagigos_mamen,cagigos_mamen,88,113,5108,12652,,
tonnirubio88,tonnirubio88,1432,1510,57483,15628,,Andalucía
garcijarvar,garcijarvar,519,1460,132563,68949,Madrid,Matrix (Provincia de Albacete)
psicolengua,psicolengua,4618,2158,17736,3925,Madrid,Madrid
polinariyagoc0n,polinariyagoc0n,29,10,481,347,Pacific Time (US & Canada),
iagoPodemos,iagoPodemos,2076,867,39832,39144,,
CJNovelda,CJNovelda,213,253,6598,46879,,Novelda
FrikerSalcedo,FrikerSalcedo,356,383,19082,5087,Amsterdam,Génova 13
Jonathan_HG91,Jonathan_HG91,3359,3245,481865,78225,Amsterdam,Sanlúcar de Barrameda (Cádiz)
SergeNicos,SergeNicos,85,11,1183,4,,
fcojaviertorr14,fcojaviertorr14,71,41,936,1819,,"Sevilla, España"
nlk66,nlk66,372,93,1990,3083,,
Ireneecg,Ireneecg,277,506,20964,7449,Athens,Huelva
navegand0,navegand0,697,1620,97140,17461,Madrid,Girona   CAT  |l*I| 
monica_re19966,monica_re19966,233,439,24758,67740,Pacific Time (US & Canada),Madrid/Alemania 
Edelmiro1961,Edelmiro1961,868,2300,82549,28426,Pacific Time (US & Canada),Aquimismo
andreamqq,andreamqq,469,1872,30472,18433,,Canarias
angelesfig,angelesfig,2853,2609,19568,16738,Hawaii,A Guarda
kallavokas,kallavokas,64,14,1836,72,,
ligeretta,ligeretta,93,91,585,45,Madrid,"Barcelona, Spain"
mansan09,mansan09,927,623,24033,5354,,"Murcia,era alta España"
joseriv13006184,joseriv13006184,80,188,41611,14241,,
Vic12io,Vic12io,299,637,19425,27027,Madrid,
RafaGijon69,RafaGijon69,410,354,26705,1915,,"La Luna, Satélite de La Tierra"
PILI93s,PILI93s,4993,3506,59321,31657,Europe/Madrid,
Alfredictor,Alfredictor,76,36,615,894,,
catandy_eff,catandy_eff,252,217,11491,5327,,
jcd1483,jcd1483,1568,319,6426,5635,,Las Palmas de Gran Canaria
maricarvidalsam,maricarvidalsam,2625,2594,353120,67555,,Santander
cabezapercebe,cabezapercebe,733,193,5683,1785,Madrid,Cáceres city
RoqueBarcia,RoqueBarcia,1085,853,63146,39164,,"Cartagena , España"
lmpg_twi,lmpg_twi,283,370,48780,24575,,
salvad_m,salvad_m,1529,1628,194224,36416,Ljubljana,"Catalunya, Europa"
Dibecad,Dibecad,476,197,2103,20,Greenland,Tomares (Sevilla)
kepasawonda,kepasawonda,612,946,59241,64320,Amsterdam,Cantabria
neogeo39,neogeo39,144,169,48950,18367,Berlin,"Menos en España, donde sea"
AliciaLaulet46,AliciaLaulet46,7604,6933,37721,75968,Athens,BCN
izanthekiller1,izanthekiller1,340,43,927,574,,"El Prat de Llobregat, España"
angelsnovoape,angelsnovoape,482,247,9126,7553,,
carpeamorem,carpeamorem,4054,2225,75072,5583,,jardin de las delicias 
Colau5,Colau5,647,167,3403,289,Greenland,Dolingrado
Marinbaldo,Marinbaldo,908,314,12483,208,,"Mar Menor, Murcia, España,"
CKatarsis,CKatarsis,10484,20085,25473,20773,Madrid,
mercedescloilde,mercedescloilde,447,511,37558,43041,,
javimilanista,javimilanista,3477,2432,4847,963,Greenland,
Rubiozag,Rubiozag,437,331,15282,6784,,"Santander, Cantabria"
getaparo,getaparo,461,1683,348753,147,Madrid,
WGaztea,WGaztea,55,41,6222,874,,
ElCascabel13tv,ElCascabel13tv,189,48826,18533,173,Madrid,
Cesarsvlla,Cesarsvlla,316,2421,62218,44207,Hawaii,Sevilla
j0dedor69,j0dedor69,29,21,2056,48,,atapuerca City
focaiguaiterra,focaiguaiterra,2596,1442,72012,58412,,República Catalana. UE
cabajoseba,cabajoseba,71,79,1680,1197,,
dedomuelle,dedomuelle,301,77,4093,647,Madrid,Soy un polaco desos jejejejj
rfernandezjou,rfernandezjou,477,780,103968,37306,,
guiller_espiga,guiller_espiga,55,32,1152,734,,
DanielFerGz,DanielFerGz,214,183,29662,17718,Madrid,"Torrevieja, España"
Flashito_,Flashito_,106,369,108035,23279,Athens,Candadito: @turbotroleo
JoseLuque_41,JoseLuque_41,445,817,93087,19891,Pacific Time (US & Canada),Almería - Wrestlemania
LucasTyrell,LucasTyrell,60,14,680,59,Pacific Time (US & Canada),
spongeb95961656,spongeb95961656,155,7,296,184,,
Lia_PC,Lia_PC,161,128,1755,887,Madrid,Asteroide B612
Archaeopteryx8,Archaeopteryx8,648,452,11808,7401,Athens,
YulianaVK,YulianaVK,1205,873,73593,33621,Zagreb,"El Guinardó, Barcelona"
Anarisd,Anarisd,488,440,20238,7207,Europe/Madrid,Barcelona
GaldutaNago,GaldutaNago,17,5,64,18,West Central Africa,Donde no haya policía.
Juanmipuchalt,Juanmipuchalt,616,379,16436,5663,Madrid,València-Bilbo-Warszawa
carlosasturies,carlosasturies,986,938,15014,9174,Madrid,En Oviedo aunque Cangués
TbykmJr,TbykmJr,427,213,16087,19539,,"Detrás de ti, imbécil. "
aenriquezl,aenriquezl,304,64,4376,1631,,
UalidSarghini,UalidSarghini,149,353,12600,7459,Madrid,Vamos Mi Granada!! 
ShiOfAstora,ShiOfAstora,195,283,34970,52412,Madrid,
Grigorispoem,Grigorispoem,194,287,13495,10580,Pacific Time (US & Canada),Pronto en una caravana.
DavidPiedrafita,DavidPiedrafita,112,22,751,111,Athens,
pepeitorr0,pepeitorr0,1878,1439,46253,746,Pacific Time (US & Canada),Madrid
Javiguanarteme,Javiguanarteme,139,79,1852,515,Madrid,"Zaragoza, Spain"
frikiquark,frikiquark,1377,538,57700,18860,Amsterdam,
guevarache31,guevarache31,2371,897,25131,238,,
DarthVaderBcn,DarthVaderBcn,418,568,51746,155,Madrid,Catalunya 
liverpooldavidm,liverpooldavidm,2044,1745,141177,79643,Madrid,
Doralaacusadora,Doralaacusadora,761,762,2910,1874,Athens,
Arnaiztech,Arnaiztech,364,344,11042,3498,Madrid,Burgos // Guzmán Ribera
apetecaown,apetecaown,357,404,4472,4351,,
rlisistrata,rlisistrata,365,173,2911,191,,
aublavejant,aublavejant,482,379,9667,16789,Madrid,"Barcelona, Catalunya "
junio1969,junio1969,1010,346,11586,1350,Pacific Time (US & Canada),
LLSSerrano,LLSSerrano,3012,2477,37909,17462,Athens,Quarta dimensió
PabloH_A,PabloH_A,1981,234,17343,1692,Amsterdam,http://ask.fm/PabloH_A  
Jordivll,Jordivll,9471,12666,101352,45652,Madrid,"Torrent, Pais Valencià"
antonio59946367,antonio59946367,182,72,2866,11,,
505inc,505inc,215,144,4440,2456,Pacific Time (US & Canada),Madrid
JosDiegoBarrado,JosDiegoBarrado,631,137,793,617,,
iSusans,iSusans,106,299,37158,7535,Madrid,Chasing rabbits.
tato1991ur,tato1991ur,3093,2236,42790,12291,Amsterdam,Suiza 
numb2106,numb2106,132,47,240,32,,"Valencia, España"
goiri_j,goiri_j,94,28,1356,21,,
JMluque3,JMluque3,37,8,107,311,,
matussera,matussera,61,688,4852,6109,Pacific Time (US & Canada),Muy de mi calle y de mi risa.
nenasub2,nenasub2,591,3491,84228,132198,Pacific Time (US & Canada),"Ordino, Andorra"
westmalle65,westmalle65,500,81,5020,2862,,
marixeruizde,marixeruizde,856,841,14958,6988,Amsterdam,Arrasate | Euskal Herrixa
ThorPolov,ThorPolov,1734,1564,29631,4719,Madrid,
vslponte,vslponte,1505,1553,47240,87154,Madrid,Ponte Vedra - Galiza
Silvicarri,Silvicarri,563,1151,13593,23115,,"Murcia, Rehiyon ng Kanlurang V"
erreharria,erreharria,2173,6316,56610,13286,Amsterdam,Mediocrilandia
Sara_gra,Sara_gra,640,1227,32500,7880,Madrid,Madrid
amisut,amisut,132,18,111,11,,
maquinandoarte,maquinandoarte,329,201,20202,1525,Athens,españa
ars_magno,ars_magno,206,996,35814,36021,Pacific Time (US & Canada),Den Haag
astridma_96,astridma_96,249,260,5895,6637,,
loronoabogados,loronoabogados,908,1413,1948,209,Amsterdam,"Bilbao, Getxo, Barakaldo."
sabinaaguado,sabinaaguado,4710,3498,43307,24414,Athens,BARCELONA-MADRID 616718464
jfmfernandez201,jfmfernandez201,290,149,2138,326,,
hartodelamafia,hartodelamafia,12,25,1357,430,,
rosacasasaynoza,rosacasasaynoza,454,432,65690,62631,,
Ainho_ao,Ainho_ao,626,243,11267,7410,,
stbnthegreat,stbnthegreat,149,65,10455,15520,Madrid,
JagEstrada,JagEstrada,10,5,527,135,,
Bestgoten,Bestgoten,206,39,523,274,," Madrid, España"
Eduard_Sans,Eduard_Sans,617,459,5705,2052,,
AsunToldra,AsunToldra,610,404,27624,14796,Madrid,
Bistekh,Bistekh,98,63,4160,4840,,"Barcelona, Espanya"
Pluckyto1975,Pluckyto1975,1515,2088,33945,24580,Brussels,Pamplona
tr0k01,tr0k01,900,238,10985,1105,Hawaii,GZ
1jandrolopez,1jandrolopez,9,9,18,1,Madrid,"Almería, España"
58Cramos,58Cramos,338,175,8448,2232,,
davidfeganu,davidfeganu,714,277,4109,2213,,
camacho_com,camacho_com,2238,867,35245,118,Athens,cadiz
DaveBarr98,DaveBarr98,259,179,2776,189,London,
alaznefs,alaznefs,182,116,7529,6000,Amsterdam,Euskal Herria
euroeuropa,euroeuropa,6589,7312,165965,137897,Madrid,1949DONEC PERFICIAM RepúbliCAT
jose_wyrm,jose_wyrm,568,305,10292,6516,,"el baño, mi casa"
Mayi_Ibias,Mayi_Ibias,985,825,40939,3731,,"Ibias, España"
emocionycambio,emocionycambio,6603,7076,230809,63767,Europe/Madrid, Desde Mayo  2014    Barcelona
Anto360nio,Anto360nio,529,197,12987,7840,,Albacete
mxnrrie_,mxnrrie_,724,1159,32651,74918,Athens,"Madrid, España"
EuropaSombria,EuropaSombria,479,101,2392,1596,Lisbon,Espaňa
juanman78734705,juanman78734705,0,0,70,0,Pacific Time (US & Canada),
CloscaRoja,CloscaRoja,731,508,7115,345,Madrid,Manresa - Catalunya
SItunberri,SItunberri,901,471,10855,6575,Pacific Time (US & Canada),
hdcarrefour,hdcarrefour,529,15196,108454,51755,Madrid,Málaga - Spanien
carollm333,carollm333,786,1006,122640,45,Pacific Time (US & Canada),
desobediencia69,desobediencia69,753,984,76607,53143,,
JuanjeAlcon,JuanjeAlcon,844,659,28732,9661,Madrid,Tuna metalera de Sevilla
LNCleon,LNCleon,223,7602,20528,2709,Amsterdam,
_01010011_,_01010011_,542,502,4636,498,Athens,Catalunya
MiguelLorenzo10,MiguelLorenzo10,181,100,4137,1053,,"Albacete, España"
1denmadrid,1denmadrid,243,1167,301790,134,Madrid,"Madrid, Colombia"
dnicatala,dnicatala,1487,7986,153519,115948,Brussels,"Terrassa, Catalunya"
gi_kel,gi_kel,1707,2645,27753,4548,,Catalunya
kdnpv,kdnpv,470,235,33222,16615,Madrid,
RogerYoda,RogerYoda,5986,7643,90554,92092,Madrid,"E Street, Jungleland"
cigarunfumarro,cigarunfumarro,406,1513,70151,112384,Athens,zaragoza - boltanya
dannypeewee,dannypeewee,735,301,6411,1675,Madrid,san sebastian de los reyes
CirunCh,CirunCh,553,427,44145,174,,The Netherlands
trempantempaito,trempantempaito,3343,3145,86566,3656,Paris,
Sra_Iguana,Sra_Iguana,1106,146,7448,393,Pacific Time (US & Canada),Ciudad Autónoma de Buenos Aire
ConsiMiranda,ConsiMiranda,4924,4608,25645,46179,,Palma de Mallorca
angeles_calv,angeles_calv,13,3,26,287,,
75pilicapi,75pilicapi,2185,6554,129992,10954,Athens,mañolandia 
BcnLoles,BcnLoles,385,455,31293,15152,,"Barcelona, Spain"
mijailepv,mijailepv,1637,1227,7238,9810,,Galicia
ferrando_diego,ferrando_diego,241,244,614,350,,"Beniarbeig, España"
Zombor007,Zombor007,185,151,2657,1567,,
MariCruzIsasi,MariCruzIsasi,260,327,4111,10040,Madrid,Ciudad Real. España
ma_montse,ma_montse,215,95,10350,3277,,
porkoshark,porkoshark,131,28,245,22,,
ikerbest,ikerbest,393,222,7852,4298,,Gasteiz 
mvallver,mvallver,47,157,8837,5382,Athens,
EngineerCVM,EngineerCVM,142,25,1798,379,,"Valencia, Spain."
JosefaPortales,JosefaPortales,1893,1974,87253,11492,,Alcorcon (Madrid)
jordiv,jordiv,1334,1841,107472,567,Madrid,Barcelona
corocota,corocota,175,47,12566,27,Paris,
toCarlosHuev0s,toCarlosHuev0s,250,191,24783,2305,Belgrade,Los internets
jpgaipo,jpgaipo,830,952,60273,8002,Madrid,El rectángulo de W. W. Ellis
malyilusionada,malyilusionada,170,100,4445,42,,Aguadulce.   Almeria
Chiky_Godoy,Chiky_Godoy,276,43,263,280,,"Madrid, Comunidad de Madrid"
carlesponsi,carlesponsi,1030,4094,17520,6134,Madrid, BCN / Figueres
pintorperez1965,pintorperez1965,1321,1230,30234,4633,,"Sevilla, Andalucía"
dora_nicoletta,dora_nicoletta,10800,12207,240551,213485,,"Barcelona, Catalunya"
rafaeltoussola,rafaeltoussola,2097,1270,23053,1003,Madrid,Lebrija
ferrancererols,ferrancererols,381,153,1964,3258,Copenhagen,
1DCamrynSpain,1DCamrynSpain,320,1418,12569,3052,Athens,Bajo el cielo púrpura de Roma
Archel_6,Archel_6,338,79,11286,6522,,
Rap_Ulsel,Rap_Ulsel,79,40,1807,2636,,Zaragoza
NaryaBlackfyre,NaryaBlackfyre,347,1340,80774,18131,Greenland,Neverland
galcahut,galcahut,240,36,3530,30,,
jancelbes,jancelbes,2440,2383,55252,21790,Madrid,
manel_martinezg,manel_martinezg,107,136,21022,11516,Madrid,
PerillaCaldes,PerillaCaldes,1474,619,9344,129,Athens,
BenayasBena,BenayasBena,301,199,6066,487,,MADRID
judimendikoa,judimendikoa,191,207,30601,10883,Madrid,Euskal Herria
