ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
FlashNoseCat,FlashNoseCat,2017-03-27 23:05:37,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",352,366,19280,3416,Azores,
joserayab,joserayab,2017-03-27 23:03:09,Me ha gustado un vídeo de @YouTube de @unosmemiyos (https://t.co/9cV7pC5E4H - Carrero Blanco | Shooting Stars - @unosMemiyos).,1085,737,35381,7565,Madrid,Córdoba
ALCNovelda,ALCNovelda,2017-03-27 22:58:10,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",518,606,8461,66540,Madrid,Novelda
ALCNovelda,ALCNovelda,2017-03-27 22:57:57,RT @eljueves: En el nuevo trailer de DC se ve como la Liga de la Justicia salva al mundo persiguiendo a tuiteros que hacen chistes de Carre…,518,606,8461,66540,Madrid,Novelda
MaripazSDR,MaripazSDR,2017-03-27 22:56:46,"RT @JDCarracedo: #CassandraLibre La libertad de expresión no es un delito y el humor negro tampoco, aunque no nos guste. https://t.co/aGftL…",2367,1538,72155,14168,,Getafe
cagigos_mamen,cagigos_mamen,2017-03-27 22:51:12,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",87,105,4784,11853,,
tonnirubio88,tonnirubio88,2017-03-27 22:48:33,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",1431,1508,57246,15623,,Andalucía
garcijarvar,garcijarvar,2017-03-27 22:47:49,Se pueden hacer chistes sobre Carrero Blanco ya o está la cosa todavía en el aire?,519,1463,132459,68882,Madrid,Matrix (Provincia de Albacete)
polinariyagoc0n,polinariyagoc0n,2017-03-27 22:44:55,"RT @quiquepeinado: Si lo llega a decir de los hijos de Carrero Blanco, al talego. Pero no. https://t.co/fDBwUHRkN9",26,10,446,316,Pacific Time (US & Canada),
iagoPodemos,iagoPodemos,2017-03-27 22:43:20,"RT @sextaNoticias: VÍDEO Cassandra, la tuitera que se mofó de Carrero Blanco: ""No tengo que pedir perdón, sólo es humor"" https://t.co/wjXB6…",2073,867,39799,39124,,
CJNovelda,CJNovelda,2017-03-27 22:43:05,"RT @eljueves: ¿Quieres saber cómo evitar ir al trullo por un chiste de Carrero Blanco? ¡Método para hackear la Ley Mordaza!
https://t.co/f2…",213,254,6598,46879,,Novelda
FrikerSalcedo,FrikerSalcedo,2017-03-27 22:42:49,Todos sabemos que los chistes de Carrero Blanco pierden la gracia cuando no te juegas un par de años en prisión https://t.co/dKebsjSuvY,357,382,19044,5061,Amsterdam,Génova 13
iagoPodemos,iagoPodemos,2017-03-27 22:42:30,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",2073,867,39799,39124,,
CJNovelda,CJNovelda,2017-03-27 22:41:05,"RT @eljueves: El TT de Carrero Blanco lleva todo el día muy arriba, casi tocando el cielo. Menos mal que el día se pasa volando.",213,254,6598,46879,,Novelda
CJNovelda,CJNovelda,2017-03-27 22:40:49,RT @eljueves: En el nuevo trailer de DC se ve como la Liga de la Justicia salva al mundo persiguiendo a tuiteros que hacen chistes de Carre…,213,254,6598,46879,,Novelda
CJNovelda,CJNovelda,2017-03-27 22:40:41,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",213,254,6598,46879,,Novelda
Jonathan_HG91,Jonathan_HG91,2017-03-27 22:36:24,"RT @subversivos_: A ver los medios que tienen les sobraran,total para buscar peligrosos tuiteros que cuentan chistes de Carrero Blanco
http…",3340,3224,480104,78162,Amsterdam,Sanlúcar de Barrameda (Cádiz)
SergeNicos,SergeNicos,2017-03-27 22:35:15,"@ElCascabel13tv  Que se proteja a un terrorista fascista, dictador genocida.Un asesino de mierda como Carrero Blanco... ¡Qué puta vergüenza!",86,8,897,4,,
fcojaviertorr14,fcojaviertorr14,2017-03-27 22:31:46,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",67,37,759,1589,,"Sevilla, España"
nlk66,nlk66,2017-03-27 22:31:46,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",372,93,1981,3076,,
Ireneecg,Ireneecg,2017-03-27 22:31:02,RT @daviniaweasley: Y estas cosas no las podemos denunciar @policia? O solo se va a cárcel si se habla de Carrero Blanco? https://t.co/mO0I…,277,505,20949,7437,Athens,Huelva
navegand0,navegand0,2017-03-27 22:28:28,RT @Cesarsvlla: @elespanolcom @AlbertoLardies lo que no puede ser es que te pidan carcel por un tuit sobre Carrero Blanco.,718,1619,96645,17322,Madrid,Girona   CAT  |l*I| 
monica_re19966,monica_re19966,2017-03-27 22:26:55,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",233,437,24669,67514,Pacific Time (US & Canada),Madrid/Alemania 
Edelmiro1961,Edelmiro1961,2017-03-27 22:26:43,RT @Tremending: Dos noticias juntas se entienden mejor... https://t.co/bdpxfma17b https://t.co/xypCWSRz3g,869,2290,82121,28421,Pacific Time (US & Canada),Aquimismo
andreamqq,andreamqq,2017-03-27 22:26:20,RT @daviniaweasley: Y estas cosas no las podemos denunciar @policia? O solo se va a cárcel si se habla de Carrero Blanco? https://t.co/mO0I…,466,1855,30194,18191,,Canarias
angelesfig,angelesfig,2017-03-27 22:26:18,RT @Tremending: Dos noticias juntas se entienden mejor... https://t.co/bdpxfma17b https://t.co/xypCWSRz3g,2847,2607,19541,16711,Hawaii,A Guarda
kallavokas,kallavokas,2017-03-27 22:24:15,"RT @SatanasChungo: Carrero Blanco está conmigo y se parte con vuestros tuits. 
Con lo alto que fue y acaba aquí abajo.",65,15,1821,70,,
ligeretta,ligeretta,2017-03-27 22:23:11,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",93,91,584,44,Madrid,"Barcelona, Spain"
mansan09,mansan09,2017-03-27 22:22:45,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",902,587,22934,5211,,"Murcia,era alta España"
joseriv13006184,joseriv13006184,2017-03-27 22:21:15,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",79,183,41044,14062,,
Vic12io,Vic12io,2017-03-27 22:17:27,RT @Sara_gra: 22/03: Juicio contra @kira_95 por chistes de Carrero Blanco. La Fiscalía rebaja la petición de dos años y seis meses a un año…,291,632,19121,26601,Madrid,
RafaGijon69,RafaGijon69,2017-03-27 22:11:08,"@subversivos_ @IzquierdaRevMad @rebeldia99 @Xuxipc @TropaAntifa @JDCarracedo @EvaGSempere @BananaRancia 

Serie fav… https://t.co/2RXCJsX27a",404,347,26461,1899,,"La Luna, Satélite de La Tierra"
PILI93s,PILI93s,2017-03-27 22:10:36,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",4987,3492,59171,31565,Europe/Madrid,
Alfredictor,Alfredictor,2017-03-27 22:07:36,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",76,34,610,884,,
catandy_eff,catandy_eff,2017-03-27 22:05:49,"RT @subversivos_: Semana de chiste en la Audiencia Nacional. Los tuiteros desafían a la fiscalía con chistes de Carrero Blanco 💯👏
https://t…",250,206,11268,5245,,
jcd1483,jcd1483,2017-03-27 22:05:10,"RT @JoaquimBoschGra: Contar chistes sobre Carrero es reírse de una dictadura, sin que implique apoyar al terrorismo.Lo digo en AlRojoVivo h…",1564,323,6377,5591,,Las Palmas de Gran Canaria
maricarvidalsam,maricarvidalsam,2017-03-27 21:57:09,RT @ElCascabel13tv: 📺¿Qué os parecen los tuits de Cassandra sobre Carrero Blanco? #ElCascabel27M https://t.co/k49qYOGBki,2622,2586,351352,66945,,Santander
cabezapercebe,cabezapercebe,2017-03-27 21:54:53,"Estoy tan preocupado de los daños por los chistes de Carrero Blanco, que me la suda ya que haya familias bajo el umbral de la pobreza.",733,193,5689,1791,Madrid,Cáceres city
RoqueBarcia,RoqueBarcia,2017-03-27 21:53:38,"RT @jorgegmerino: En la Audiencia Nacional:
-...y el documental de TVE se llama ""El ascenso de Carrero Blanco""
-...muahahahah https://t.co/…",1086,854,62890,38949,,"Cartagena , España"
lmpg_twi,lmpg_twi,2017-03-27 21:49:29,"RT @Bastetlove3: La q se ha liado por un chiste sobre Carrero Blanco,Camarón le escribió una canción y no fue pa tanto
🎶 volando voy...🎶
Mi…",267,354,47472,23393,,
salvad_m,salvad_m,2017-03-27 21:48:16,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",1525,1616,193552,36337,Ljubljana,"Catalunya, Europa"
Dibecad,Dibecad,2017-03-27 21:48:15,"Retweeted El Jueves (@eljueves):

Normal. No lo dijo rapeando o añadiéndole un chiste de Carrero Blanco. De... https://t.co/81SeRIgJpU",476,196,2077,19,Greenland,Tomares (Sevilla)
Dibecad,Dibecad,2017-03-27 21:48:06,"RT @eljueves: Normal. No lo dijo rapeando o añadiéndole un chiste de Carrero Blanco. De haberlo hecho, pena de cárcel. https://t.co/9wibfrL…",476,196,2077,19,Greenland,Tomares (Sevilla)
kepasawonda,kepasawonda,2017-03-27 21:48:00,RT @Sara_gra: 22/03: Juicio contra @kira_95 por chistes de Carrero Blanco. La Fiscalía rebaja la petición de dos años y seis meses a un año…,612,938,59116,64105,Amsterdam,Cantabria
neogeo39,neogeo39,2017-03-27 21:47:52,El gran boom de twitter fue cuando se empezó a hacer chistes de Carrero Blanco,143,165,48842,18284,Berlin,"Menos en España, donde sea"
AliciaLaulet46,AliciaLaulet46,2017-03-27 21:47:30,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",7377,6864,37600,75594,Athens,BCN
izanthekiller1,izanthekiller1,2017-03-27 21:46:56,"RT @dedomuelle: El primer ser humano en llegar a la Luna fue Carrero Blanco, como volaba el cabron xDDD",337,42,925,566,,"El Prat de Llobregat, España"
angelsnovoape,angelsnovoape,2017-03-27 21:45:16,"RT @GobernoAlem: Yo no digo nada, pero va a ir una chica a la cárcel más tiempo por hacer unos chistes de Carrero Blanco, que Urdangarín po…",479,248,9088,7547,,
carpeamorem,carpeamorem,2017-03-27 21:44:05,"RT @Bastetlove3: La q se ha liado por un chiste sobre Carrero Blanco,Camarón le escribió una canción y no fue pa tanto
🎶 volando voy...🎶
Mi…",4009,2196,74095,5575,,jardin de las delicias 
