ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
coapicito,coapicito,1256,572,17551,137,Madrid,
mxnrrie_,mxnrrie_,724,1159,32651,74925,Athens,"Madrid, España"
agentePerkins,agentePerkins,319,77,10155,1737,Madrid,
TheGrandPene,TheGrandPene,334,1394,67159,8759,Athens,"Bizkaia, País Vasco"
BIackesito,BIackesito,218,239,24115,4230,London,Logia's Maintenance Room
ToniQuique,ToniQuique,1881,1986,61444,73944,Amsterdam,Aquí 
Y2JIMWhite,Y2JIMWhite,369,590,35007,1199,Greenland,Reino Unido
ClaraPeke1997,ClaraPeke1997,200,186,29050,6511,,
ericbf23,ericbf23,831,277,3020,2881,Madrid,"Gavà, Països Catalans"
JDSato,JDSato,2567,1736,18305,1976,,Spain
lfledesmasainz,lfledesmasainz,1100,677,11721,55,Amsterdam,Sant Boi
GiovanniTrapato,GiovanniTrapato,439,51,541,1251,,
codecraftben,codecraftben,205,136,5308,6852,Pacific Time (US & Canada),URRS
BerbiquiS,BerbiquiS,298,210,5350,5440,,"Santa Berga de la Clòtxina, pedania del Piu de l'Àngel i de la Figa de Tatia."
Gaddock97,Gaddock97,179,466,15695,2126,,Galiza
squantum1714,squantum1714,72,172,62312,467,,
77_Rafa_77,77_Rafa_77,532,158,4674,731,Hawaii,
UnluckyDanieh,UnluckyDanieh,826,342,21603,26941,Madrid,Elche city 
joanart8,joanart8,1137,412,13253,8340,Athens,La Prospe 
juanma25553,juanma25553,97,82,8646,1883,,
GatoHitleriano,GatoHitleriano,929,5810,252791,146137,Madrid,Lago de Fuego Eterno de Satán.
patanhp,patanhp,16,17,1402,22,,
Esterbellr,Esterbellr,74,334,386,201,Athens,
gulfanclub,gulfanclub,265,70,5853,2004,London,
Notododepende,Notododepende,423,373,12072,4788,,Madrid 
Eustakiaso,Eustakiaso,81,31,192,201,Pacific Time (US & Canada),
Tomas_Pardo,Tomas_Pardo,262,405,16190,3143,Madrid,Barcelona
isaprospe,isaprospe,3378,4757,103079,7919,,
leeyescucha,leeyescucha,58,28,2526,1101,,
La_exorsister,La_exorsister,302,168,7077,1984,London,Bajo la sombrita del Teide
loba_esteparia,loba_esteparia,121,46,2233,0,Madrid,L´H City - Barcelona - Spain 
luciacc18,luciacc18,381,479,3110,4694,Athens,Cuenca
kehartitastoy,kehartitastoy,1488,1820,42271,43629,,"Cádiz, España"
mojacar12,mojacar12,140,430,121857,19758,Hawaii,
Quenosenteran,Quenosenteran,119,270,76403,154,Hawaii,ESPAÑA
SoriadeAsis,SoriadeAsis,1084,95,9600,111,Hawaii,Stuttgart (Spain)
anaexplosion,anaexplosion,161,190,6538,5094,Madrid,"Mordhaus, Mordland"
_josemigel,_josemigel,877,202,10583,985,,Un maño con sangre andaluza 
BigBadBosss,BigBadBosss,93,54,2945,3054,,
daniel11_10,daniel11_10,131,89,3641,15434,,
kronen0701,kronen0701,437,153,9210,3702,,
jordi_berry,jordi_berry,500,200,8282,943,Athens,
Bloodmoonspell,Bloodmoonspell,389,522,13820,27795,Madrid,verdes praderas de Alderaan
omalaled,omalaled,1182,2059,17727,567,Madrid,Barcelona
GOGOR66,GOGOR66,180,68,1145,779,,
Viva_RePPopular,Viva_RePPopular,311,53,624,180,Madrid,Valencia
doctormapache,doctormapache,898,1591,79753,11589,Madrid,
Mariscallucho,Mariscallucho,61,22,541,95,,Quiero volar
Fernando1711995,Fernando1711995,281,142,8612,1570,Amsterdam,
AnaLlames,AnaLlames,2592,2571,195429,7473,,
Antia_Ares,Antia_Ares,879,519,12031,752,,Second star to the right 
dekmania,dekmania,78,38,66,30,Madrid,
kimi_mh,kimi_mh,199,155,9621,4732,,dartmoor
albertmoli1,albertmoli1,489,445,3004,886,Amsterdam,
75pilicapi,75pilicapi,2185,6554,129992,10954,Athens,mañolandia 
igniwan,igniwan,2781,2792,55482,36214,Hong Kong,por hay 
O_edipus,O_edipus,600,809,120966,170009,,Right here
fran_ferreiros,fran_ferreiros,126,1125,26429,9186,UTC,Spain
arcadicanyot,arcadicanyot,163,103,3126,527,,
matussera,matussera,61,689,4852,6109,Pacific Time (US & Canada),Muy de mi calle y de mi risa.
PDLI_,PDLI_,1422,6445,5170,4162,,Madrid
samsonXu,samsonXu,253,244,31651,184,Pacific Time (US & Canada),"Barcelona, Cataluña"
NatiNatiruizv,NatiNatiruizv,90,33,1900,751,,logroño
Ossa_Major,Ossa_Major,309,920,58922,44942,Amsterdam,País Valencià~Països Catalans
funlazuli,funlazuli,1857,1331,4790,736,Bogota, Bogotá Distrito Capital
EmiliaToba,EmiliaToba,898,336,23004,285,,
arianlandrio97,arianlandrio97,1037,168,5294,3684,,Grado (Asturias)
Tirriji,Tirriji,160,46,289,335,,
Jervo_Vivaz,Jervo_Vivaz,135,41,1185,2074,,"Salamanca, España"
neis_98,neis_98,618,615,45900,7647,Madrid,Galicia
Paaaaugm,Paaaaugm,86,40,11504,8596,Athens,"Santa Cruz de Tenerife, Islas "
nanais1993,nanais1993,252,75,10550,2260,,Asturias
IgnacioHinojosa,IgnacioHinojosa,423,517,3166,237,Madrid,
Lacarrrpa,Lacarrrpa,912,6287,119529,218755,Madrid,
IviramAlonso,IviramAlonso,1445,1447,38789,34267,Belgrade,BCN
Etheldien,Etheldien,131,104,4799,1510,Greenland,"日本 東京, Japón Tokio"
Suprat__,Suprat__,78,190,957,262,Amsterdam,
Eccehumus,Eccehumus,738,5583,50874,166365,Amsterdam,En mi Macondo particular
19dmcj67,19dmcj67,199,52,3718,738,,
chooccha,chooccha,579,148,6216,3396,Amsterdam,
Aitor_Iribar,Aitor_Iribar,234,196,10145,4868,,
malborillo,malborillo,206,3038,41754,45421,Madrid,En la playa 
Cristin08jesse,Cristin08jesse,426,4205,111723,198393,,Soy de lejos.
sr_innavoig,sr_innavoig,220,272,8180,8338,Pacific Time (US & Canada),Chinazuela del Norte 
SusDenMucho,SusDenMucho,471,140,2161,25,Athens,En el Globo
potytoo,potytoo,1987,1079,9385,3933,,Ceuta/Marbella/Milano
gelu_lopez,gelu_lopez,198,419,47418,8402,Amsterdam,"Não-Me-Toque, Brasil"
1996Boldi,1996Boldi,318,304,20837,6097,Amsterdam,
MeLlamanPortas,MeLlamanPortas,418,328,17567,1921,,En el centro de quimismo
SanJosemiguel,SanJosemiguel,390,264,4250,1610,,
IMPECABLE10,IMPECABLE10,1352,649,111347,42291,Madrid,
Mia_Wallace_797,Mia_Wallace_797,304,780,71044,35719,Madrid,"Los Angeles, CA"
__Z__Z__Z__Z__,__Z__Z__Z__Z__,131,111,599,317,Madrid,127.0.0.1
no_sube,no_sube,299,226,7011,6262,Madrid,"Madrid, España"
pablo_obregon,pablo_obregon,1068,378,24845,11501,Madrid,sotto l'ombra di un bel fior
Jcongo15,Jcongo15,578,497,14161,8318,Athens,Madrid-España
Ana10vina,Ana10vina,419,598,18415,5983,Amsterdam,"Mirando al mar o al Ebro,según"
nenasub2,nenasub2,591,3491,84228,132198,Pacific Time (US & Canada),"Ordino, Andorra"
fatii_23_,fatii_23_,971,1123,19579,23803,Madrid,"Alcalá de Henares, España"
Darthpitufo,Darthpitufo,92,27,3791,4171,,Getafe
esasOtra,esasOtra,223,3021,52714,46593,,Spanien
irodripez,irodripez,270,66,435,799,Pacific Time (US & Canada),"De aquí, de allá."
CATALINAPIZARR1,CATALINAPIZARR1,411,489,58135,1977,Madrid,Madrid
cleosagas,cleosagas,1006,1024,49282,10954,Pacific Time (US & Canada),
Pau5ala5,Pau5ala5,470,70,831,868,Pacific Time (US & Canada)," Vilafranca del Penedès, PPCC"
PeterParkulen,PeterParkulen,213,1321,12259,7965,Madrid,La Internet
Ebanpuck,Ebanpuck,291,396,6836,1105,Athens,
migdiadacadadia,migdiadacadadia,37,35,745,1572,,
andriusplaza,andriusplaza,173,123,1463,1269,Athens,Palma 
mamenmamenmamen,mamenmamenmamen,755,355,7085,13427,,
jmm2025,jmm2025,92,30,467,1532,,
yaplimm,yaplimm,39,80,8721,27,,
