ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
normablanco66,normablanco66,2896,1770,68632,22545,Madrid,"Valdemoro, Comunidad de Madrid"
MadnessPonekorn,MadnessPonekorn,527,235,25439,23338,Amsterdam,2°estrella a la derecha. 
AdolfInd4Hood,AdolfInd4Hood,420,420,18325,19247,,"Leganés, Madrid"
andres_tecno,andres_tecno,307,215,28303,2306,,Fuerteventura. 
846jose,846jose,783,699,19059,11953,,Palma
toniescandell3,toniescandell3,104,104,610,146,,"Eivissa, Pitiüses "
Little_Soraly,Little_Soraly,131,262,63609,14203,Athens,En las puertas del averno. ♡
CAPTAIN_BORDURE,CAPTAIN_BORDURE,285,99,28782,27756,,Mandril
antictona,antictona,2156,1039,24146,6900,,Spañistan.
Franciscoalbaca,Franciscoalbaca,454,541,60269,38476,,
moran_emortor,moran_emortor,213,153,18805,12334,,
J_Karlos97,J_Karlos97,240,500,15684,10180,,Sevilla Antifa
AlfredoGrandes,AlfredoGrandes,672,702,695,46,Pacific Time (US & Canada),"Palo Negro, Venezuela"
JC_SepMac,JC_SepMac,151,122,2767,667,Athens,España
ANTONIACUE,ANTONIACUE,1674,1668,220928,17784,,ESPAÑA
lorealex99,lorealex99,290,182,3878,6490,,
alexgato74,alexgato74,2385,1164,37024,3400,Amsterdam,
smonicats,smonicats,1998,3309,34787,33840,Berlin,Berlin
gleditsia66,gleditsia66,536,500,15767,9812,,
EstudiantePablo,EstudiantePablo,729,173,6532,1221,Madrid,"Lérida, Cataluña"
Franvallelindez,Franvallelindez,166,200,10915,6788,Amsterdam,Entre Narnia y la Alhambra
marnav96,marnav96,1218,530,2883,977,Madrid,
LiliaMisnovelas,LiliaMisnovelas,3214,1014,55515,10280,Amsterdam,"Arenys de Mar, Cataluña"
ANGCONPAS,ANGCONPAS,238,251,20666,2325,,"Elche, España"
JGPR_1992,JGPR_1992,438,268,6185,1126,Madrid,Bollullos de la Mitación
thepussyriot,thepussyriot,160,1313,6657,12206,Pacific Time (US & Canada),"Guadarrama, Madrid"
jmpelleja,jmpelleja,1858,1674,156265,4491,Paris,"Barcelona,Priorat,Port dlSelva"
medulio22,medulio22,1546,1583,21065,284,Amsterdam,
Vgxstin,Vgxstin,271,228,24124,12507,Amsterdam,wapo gordo re
SpideyForever,SpideyForever,4785,4762,18071,740,Amsterdam,New York;Queens.
Monssterkill93,Monssterkill93,237,87,1376,712,,
machadodz,machadodz,12479,12171,245363,408,Caracas,"Guatire, Edo. Miranda"
JavierArocaA,JavierArocaA,87,34756,11467,179,Paris,Sevilla/Andalusía/La Tierra
cariocache,cariocache,750,237,6852,4601,Madrid,
uluwatu1714,uluwatu1714,465,60,1337,1610,Paris,Catalonia
asparuh7,asparuh7,2422,1805,106477,3391,Stockholm,suecia 
HuracanPop,HuracanPop,1995,4492,218681,31585,Buenos Aires,"Puente Alto, Chile"
LolVia_14,LolVia_14,1591,1690,54484,8591,Madrid,Ciudad-Real Castilla la Mancha
Malukito29,Malukito29,568,200,559,14,Madrid,Pilas
nereamente,nereamente,255,196,1380,945,Amsterdam,Nómada
WGaztea,WGaztea,55,41,6222,874,,
Angel76141363,Angel76141363,735,671,25609,14741,Pacific Time (US & Canada),"Cádiz,Spain"
SpainTelevision,SpainTelevision,16,166,108337,1,Madrid,
DavidRA_dai,DavidRA_dai,333,257,15517,1023,Paris,Vallekas
AJWOWWW,AJWOWWW,986,1195,24908,5766,Greenland,Mi puta casa.
carmeroso,carmeroso,1669,555,50494,30086,Madrid,
Emigrante_69,Emigrante_69,115,3878,611,3823,Pacific Time (US & Canada),Españistán 
