Source,Target
Chapi_71,cristina_pardo
luzdelacalle,ctxt_es
luzdelacalle,aprensamadrid
obafemi_99,ulises_sevilla
Kongriov,Well086
RockmareaFern,elmundotoday
mmontesdorado,bufetalmeida
AnOceanInMySoul,jovenesenpie
Danismilelou,PabloMM
KGYIH,PabloMM
Einyel16,chselles
analani,ctxt_es
analani,aprensamadrid
esturkita,tecn_preocupado
esturkita,juanitounodinoi
esturkita,KingsMiss
enadorod,ElAmanteDelRap
Manu_S_Q,llimoo
Asesinodealmas,PabloMM
roserblasco,Berlustinho
gelvoi_,ulises_sevilla
JUANMESTOM,ctxt_es
Riky596,HermanosPelaez
MabelFigueruelo,Esparroqui
2412Jm,Nanchinho
juankarmv,vmm7773
RosaSanzD,agarzon
RosaSanzD,carnecrudaradio
TheMightyManu,cayeruby
MarcosTerolLlor,Xuxipc
gemon68,SrCaronte
DanubeMelul,rapero4dead
DanubeMelul,kisama1984
BertoOrio97,OjeteAlmendra_
Juanon0768,G_landaburu
manubertran10,juralde
ChadelgaCharo,nacho991960
jordi_rouge,XavierAntich
Juamp22,CunadoDeTuiter
beatrizarmen,Reflex_volucion
beatrizarmen,guardiacivil
anastasiogarcia,nomec_his
PalomaDa2,_ju1_
AndresAzana,Xuxipc
laurasole93,Xuxipc
fartdepop,Xuxipc
EduFdezSoy,elmundotoday
outlaw4242,Maria_Beatle
EmpoPR,agarzon
EmpoPR,carnecrudaradio
MaEu1508,el_pais
DaniLanso97,CEstudiantilB
XurxoGB,kodiario_
Anonymanu,Berlustinho
sau8719,elmundotoday
_TripleD_,FerraxPLS
hiraharas,Alex_Argrok
hiraharas,hiraharas
Trek_970,agarzon
velherysemy,el_pais
Sucedaneosdesal,TigrilloTW
juanza74,juralde
Carbilian,chselles
tinapfaparla,AngGomz
luiiigiiisss,laurited
frampiza,el_pais
MariaOxbow,DaniAlvarezEiTB
ExtremaduraRoja,CEstudiantilB
NNuriapat,jovenesenpie
Frida_Arenal,Barbijaputa
Frida_Arenal,carnecrudaradio
Alex_Argrok,hiraharas
Fqnd0D,DxncingForRain
MartaArpema,agarzon
ERNESTINAFONTAL,carnecrudaradio
CarulVila,laurited
gimenadeshelark,PabloMM
luiskren,agarzon
luiskren,carnecrudaradio
AnicaCedillo,carnecrudaradio
Merrcuryy,gerardotc
DaniiCorraless,Berlustinho
rblascom,ctxt_es
GarabatosAlbert,Well086
EvaWilliamDavis,TigrilloTW
busaiiku,PabloMM
oitaven,subversivos_
rakeld12341234,bufetalmeida
IAtxa,gerardotc
DavidKisk,DxncingForRain
rakeld12341234,pastoreta1
rakeld12341234,carnecrudaradio
identitaryspain,PabloGRodrgz
lluispeiro,matussera
MonteroGlez,ctxt_es
dvd_bcn,RPuigiR
agarciaportela,pilar51
agarciaportela,carnecrudaradio
yacareto,JuanDiegoBotto
yacareto,carnecrudaradio
Molt05,Well086
SoniaEspinar1,gerardotc
velherysemy,el_pais
modnop,elpadrecorajede
claudiaglow_,ulises_sevilla
franja50,orue_s
angelmoran1957,subversivos_
angelmoran1957,carnecrudaradio
Engels06,joseph22795
Engels06,gabrielrufian
dsdlaluna,eljueves
dsdlaluna,respetocanas
DoktorZero,monicaadepe
DoktorZero,ctxt_es
Escriban2,eldiarioes
jorgepfdez,LostinGranada
shirusly,TigrilloTW
MarrrtaGL,laurited
Boludowski,JuakoMalavirgen
Carlesescario,jorgecarrion21
gemaa_dm,laurited
Svartasmeden,eljueves
Svartasmeden,respetocanas
tvmuelas,carnecrudaradio
JimMonteverdi,VictorGonz54
hectorpezloz,ALTER_info
hectorpezloz,kira_95
LOngJOhnS1lv3r,ctxt_es
nuriabenet77,subversivos_
nuriabenet77,carnecrudaradio
MargaFeminista,Berlustinho
DiegoMartinAlbo,luisAlvar0
DanieleBranxi,agarzon
DanieleBranxi,carnecrudaradio
almaa_torrees,gerar666
