ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
Coralescriva16,Coralescriva16,306,547,11463,2370,Pacific Time (US & Canada),
yozoyderzu,yozoyderzu,393,644,34457,1892,Madrid,El Sur
ashitakami,ashitakami,73,101,4451,6946,,Magnolia
ancassua,ancassua,733,304,17524,432,,Las Palmas de Gran Canaria 
manucastellano5,manucastellano5,274,629,36910,3635,Greenland,
anselcr,anselcr,99,300,25784,22528,,
ale6castro,ale6castro,271,81,897,1334,London,Santa Cruz de Tenerife
Aleatory2k10,Aleatory2k10,1062,788,121427,4613,Lisbon,Las Palmas de Gran Canaria
paqkyo,paqkyo,40,13,1052,328,International Date Line West,
Cristiniti_24,Cristiniti_24,213,374,16369,11770,Athens,*Hermosa taquicardia*
rafasrookie,rafasrookie,445,643,147101,16996,Madrid,Instalación 05 - Valencia
VictorC73384715,VictorC73384715,1304,1590,61311,7886,,
hemarodr,hemarodr,79,14,950,15,,zamora
mbs630,mbs630,777,385,9509,2933,Europe/Madrid,"Madrid, España"
Holgadomaribel,Holgadomaribel,79,48,418,12,Athens,
ANTONINVS,ANTONINVS,145,41,1967,324,Madrid,
CrisisBA78,CrisisBA78,607,315,40811,32311,Madrid,Aquí
angsimpa,angsimpa,3974,4418,330786,129460,Madrid,
david_98sanchez,david_98sanchez,625,161,2123,1399,Pacific Time (US & Canada),Perdido en algun libro
Anyi_anonadada,Anyi_anonadada,4528,5436,171111,45617,Madrid,
ALEXb2488,ALEXb2488,195,212,15556,2697,,Rapture
atletico47,atletico47,853,1273,97126,10025,Amsterdam,Moratalaz—Madrid-España
anviross,anviross,69,22,1133,13,,
Weinin_,Weinin_,40,45,3748,1164,Pacific Time (US & Canada),Stalingrad
SaulKobra7,SaulKobra7,157,58,3220,3126,London,España
FERMINATX,FERMINATX,5000,3923,154331,23172,,barcelona
JohnseyFF,JohnseyFF,297,62,1262,679,Ljubljana,Málaga-Madrid
22manufernandez,22manufernandez,288,954,63952,52984,Madrid,Dende Silleda ata Ourense
virgwolfrkk,virgwolfrkk,1483,180,8291,4280,Pacific Time (US & Canada),
nanamontanes,nanamontanes,2010,917,18335,656,Athens,Tapia de Casariego (Asturias)
GonVzquez,GonVzquez,660,949,37393,20101,Amsterdam,"Madrid, Murcia yokse"
Gladiadorpensan,Gladiadorpensan,39,2,22,39,,Capua
Beth7maig,Beth7maig,2155,1908,40584,54154,Amsterdam,Catalunya - UK 
846jose,846jose,783,698,19059,11953,,Palma
LluisBarna,LluisBarna,98,86,4355,692,Madrid,
jorgpereza,jorgpereza,256,373,17477,21264,Madrid,madrid
kuklops,kuklops,603,295,874,233,Europe/Madrid,#Gamonal #Burgos
ProletEsp,ProletEsp,278,721,13108,9745,Pacific Time (US & Canada),"España, U.R.S.I."
flipisa01,flipisa01,84,30,292,33,,Aragón
samu_fdez_f,samu_fdez_f,35,37,797,410,Athens,
Jordi_Huntado,Jordi_Huntado,408,4244,17058,4770,Madrid,
lagunas4jm,lagunas4jm,338,402,33889,6,Amsterdam,Zaragoza
mansan09,mansan09,927,623,24032,5354,,"Murcia,era alta España"
Sanmipablo97,Sanmipablo97,576,634,4982,4054,,Rivas-La Manga
edrocre,edrocre,129,47,3932,73,La Paz,Bolivia
andresmg_36,andresmg_36,86,56,2423,720,,
axin0mas,axin0mas,180,34,3174,12223,,"El Presente, casi"
miliki97,miliki97,981,544,73214,58895,Hawaii,"Cabezón de la Sal, Cantabria"
mangelesarg,mangelesarg,186,108,2152,2350,,
GatoHitleriano,GatoHitleriano,929,5810,252764,146128,Madrid,Lago de Fuego Eterno de Satán.
LuriYuri,LuriYuri,221,292,33130,20310,Belgrade,LGTB.
franklimjose,franklimjose,301,184,3780,23,Quito,Venezuela
kesejodaelmundo,kesejodaelmundo,188,81,843,444,,
Efecto_Gamonal,Efecto_Gamonal,4,200,10584,85,,Gamonal Neighbourhood
Aina_Cruz1,Aina_Cruz1,374,82,750,1028,,
MaoistaJ,MaoistaJ,72,209,8270,5695,Madrid,"Shaoshan, República Popular C"
hestrella57,hestrella57,2600,809,13602,11458,,Madrid
MartaLizaran,MartaLizaran,182,132,6114,1015,Madrid,Valencia
MarOlguin7,MarOlguin7,2331,1465,6703,2792,Central Time (US & Canada),Estado de México.
MalMayiriti,MalMayiriti,917,303,10543,6727,Madrid,"Madrid, Comunidad de Madrid"
Apu_apuuu,Apu_apuuu,306,62,4521,4905,,
54ferrer54,54ferrer54,734,475,8004,6081,Pacific Time (US & Canada),"Aragon,cacique ladron y cabron"
efectogamonal,efectogamonal,63,1025,10749,538,,En la puta calle ☆ Gamonal
siendounico,siendounico,275,253,13652,16694,,
albertosesn,albertosesn,1361,623,32299,2320,Santiago,"Entre mar, cielo y cordillera"
perezmuriana1,perezmuriana1,845,1335,202440,205,,Pais Valenciá Europa
exeodetectives,exeodetectives,2043,705,2274,576,,
alekrs,alekrs,42,4,217,0,,
DEGP1995,DEGP1995,157,177,12561,15169,Madrid,algún lugar de Madrid
borrjaherrera,borrjaherrera,150,184,1916,2890,,
izasalamandra,izasalamandra,127,117,1378,5017,,detras tuyo
GerardCarboIbar,GerardCarboIbar,220,154,8298,3260,,
juanjot7,juanjot7,855,475,9035,74,,
meelizaa_,meelizaa_,516,495,14557,3495,Amsterdam,Leganés.
Jositoitoibor,Jositoitoibor,83,30,2126,297,,
