ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
dvd_bcn,dvd_bcn,1294,761,34699,31624,Amsterdam,☆ Catalunya ☆
agarciaportela,agarciaportela,7854,8426,274907,146050,,A coruña
yacareto,yacareto,2248,2235,75830,11037,Madrid,el mundo
Molt05,Molt05,157,16,73,11,,
SoniaEspinar1,SoniaEspinar1,143,162,16932,15850,Athens,
modnop,modnop,306,69,8159,1214,Madrid,En mi mundo.
claudiaglow_,claudiaglow_,122,272,37884,227,Madrid,"Málaga, Andalucía"
franja50,franja50,303,296,6926,2022,,Asturias
angelmoran1957,angelmoran1957,2910,2941,58757,139,Athens,españa
Engels06,Engels06,347,78,3276,1269,,
Marie_Chain,Marie_Chain,466,91,130,287,,
dsdlaluna,dsdlaluna,271,64,2930,385,Amsterdam,España
enriquehuno,enriquehuno,2024,2064,12171,542,London,"Tenerife, CANARY SLAND"
DoktorZero,DoktorZero,233,817,54583,12710,Madrid,Valenciano en Salou
Escriban2,Escriban2,875,391,33054,3985,,
jorgepfdez,jorgepfdez,1761,1672,124222,2711,,España
shirusly,shirusly,187,212,7854,14926,Europe/Madrid,"Valencia, Spain"
MarrrtaGL,MarrrtaGL,590,304,5638,3762,Madrid,"Tres Cantos, Madrid"
Boludowski,Boludowski,377,500,79718,37534,Brasilia,HOSPITAL ESPECIAL 
Carlesescario,Carlesescario,57,17,1301,1469,Madrid,
gemaa_dm,gemaa_dm,515,641,38488,38761,Amsterdam,871'1 km; Irene ♡ 
Svartasmeden,Svartasmeden,43,47,1765,2784,,"Everywhere, nowhere"
tvmuelas,tvmuelas,204,123,14942,6406,,
JimMonteverdi,JimMonteverdi,438,238,2423,6603,,Madrid
hectorpezloz,hectorpezloz,703,688,13291,12128,Madrid,VALLEKAS 
LOngJOhnS1lv3r,LOngJOhnS1lv3r,1381,1050,13416,5032,Lisbon,Madrid - Gran Canaria
nuriabenet77,nuriabenet77,3490,5337,294948,185885,Madrid,
MargaFeminista,MargaFeminista,179,73,2998,3416,,
DiegoMartinAlbo,DiegoMartinAlbo,401,306,9346,1073,Madrid,"Toledo,Spain"
DAMISSEL,DAMISSEL,697,538,16971,18074,Madrid,Cadiz
DanieleBranxi,DanieleBranxi,156,61,95,28,Amsterdam,
almaa_torrees,almaa_torrees,387,745,13972,7146,,
MIRevilla_,MIRevilla_,129,137,9659,43,Madrid,País Injusticia(España)
Imanolitokun,Imanolitokun,1135,428,12018,8237,Athens,Sophie Marceau
MarkitosHT,MarkitosHT,179,83,3382,3146,,Getafe
skazofrenico,skazofrenico,157,421,46732,27096,,Estamos en esto por las drogas
ainhoeta14,ainhoeta14,119,205,1130,850,,"Barcelona, España"
maricarmensaez4,maricarmensaez4,345,97,1495,3393,,
Algeciras1,Algeciras1,1821,1123,55457,41249,Hawaii,Algeciras
JackBibon,JackBibon,508,752,21044,29623,Madrid,❤️❤️❤️❤️❤️❤️❤️
afrikaanfruns,afrikaanfruns,418,42,99,236,,Barcelona - Buenos Aires
anakiriflu,anakiriflu,204,141,3824,4195,Amsterdam,
Thalia_Brook,Thalia_Brook,87,19,33,655,,
Cristina_Orio,Cristina_Orio,521,483,6661,4770,Athens,Logroño
151f1cd26253497,151f1cd26253497,1204,759,26344,80,,"Sevilla, España"
jailedcatalanet,jailedcatalanet,2632,1714,46135,6787,Amsterdam,"CERDANYA, CATALUNYA"
ketalina87,ketalina87,103,140,2019,95,Madrid,Mallorca
IsabelSatrus,IsabelSatrus,61,35,111,63,,Barcelona
Tornilloapretao,Tornilloapretao,88,34,1766,737,,En la ferretería
gabrielamartf,gabrielamartf,990,852,101528,6001,Santiago,
sarafernandeeez,sarafernandeeez,657,1086,10065,5772,,Pravia - Galicia
xarlest,xarlest,194,47,2523,645,,
miquelclariana1,miquelclariana1,334,230,7004,1452,,"Reus, Baix Camp ,Catalunya ."
Davidcaton77,Davidcaton77,1848,1145,47551,22284,,
OrgulloyPundono,OrgulloyPundono,398,132,2007,81,Pacific Time (US & Canada),
Trapito_,Trapito_,697,646,9693,26809,Pacific Time (US & Canada),INFJ
amvieites,amvieites,264,160,3959,883,Athens,Madrid
Albertop557,Albertop557,1995,2112,66114,24330,,"Cantabria, España"
alassece,alassece,269,371,28996,7464,Athens,"Badajoz, Extremadura"
illo0o0,illo0o0,80,132,7100,166,Madrid,"Illo, Nigeria"
jcarmasy,jcarmasy,381,46,403,47,Madrid,"Lima, Peru"
AnaJuradoR,AnaJuradoR,487,304,15512,16529,,"Malgrat de Mar, España"
msbrema,msbrema,1630,1323,16476,2808,Central Time (US & Canada),
eukillo,eukillo,405,148,11815,222,,sevilla
gustavoduch,gustavoduch,776,3666,5567,717,Hawaii,
Irina_Hergo,Irina_Hergo,151,156,11200,635,Madrid,Spain
Berkhl,Berkhl,706,807,38033,212,Paris,
IamBlacksad,IamBlacksad,364,251,6159,1090,Pacific Time (US & Canada),Gotham
edubajo,edubajo,397,64,314,543,Athens,Bilbao
FJVillalvilla,FJVillalvilla,1135,1320,130112,86604,Madrid,Alcalá de Henares-Madrid-SPAIN
Soulful70,Soulful70,1539,2114,9039,8437,Greenland,
Yun4n7on,Yun4n7on,358,491,47929,6423,Madrid,Seb's 
AlfredoLicSanch,AlfredoLicSanch,68,69,6471,2836,Ljubljana,"Acho, pos en Murcia, copón."
Etherias_,Etherias_,125,448,14653,4880,Amsterdam,Raftel -Valladolid- Que sé yo
OsirisPerezXXX,OsirisPerezXXX,907,907,135723,158896,Madrid,Gijón
peizre,peizre,212,166,4588,89,Athens,
NeliaArgaz,NeliaArgaz,82,35,294,8,,"Barcelona, Catalunya"
cleosagas,cleosagas,1004,1013,47824,10843,Pacific Time (US & Canada),
BeaAlonsoFdez,BeaAlonsoFdez,969,920,3731,970,Madrid,
pastoreta1,pastoreta1,5354,7127,93467,13659,,
fermasamx,fermasamx,3535,3272,8558,671,,
ra_haru,ra_haru,380,191,20741,5934,,
EspinaPaco,EspinaPaco,737,542,13439,3076,,Gijon
fjaviermunoz39,fjaviermunoz39,383,202,20619,398,Greenland,Ubicua
jmbeas,jmbeas,348,3289,70064,18342,Madrid,Madrid (España)
URSS1961,URSS1961,0,18,2443,203,,
Un19dediciembre,Un19dediciembre,0,0,66569,3,Ljubljana,Croacia 
RubenVM95,RubenVM95,306,273,13046,8072,,Durmiendo
sra_danvers,sra_danvers,1405,1431,60455,82642,Madrid,
Soundbearier,Soundbearier,216,102,938,30046,Athens,In the shadows of my being
CarlosSerranoL7,CarlosSerranoL7,141,31,1039,39,,"Madrid, Comunidad de Madrid"
_marinamoya,_marinamoya,844,158,1647,21,Madrid,Madrid
Kaede991,Kaede991,543,398,28529,702,Madrid,
Monica16161,Monica16161,1213,423,12648,3433,,argentina-españa-arg-esp
leoneti,leoneti,261,135,27145,615,Madrid,
salcerva,salcerva,123,163,34151,26,,
OzoresAnita,OzoresAnita,170,63,2132,1024,,
ivanpazos96,ivanpazos96,40,53,1674,1421,Greenland,
kharzaq,kharzaq,225,88,3852,4090,,"Santa Cruz de Tenerife, España"
javimoncej,javimoncej,521,273,6332,6924,,
MrsNemo_,MrsNemo_,215,305,57839,34998,Madrid,
Cutralla,Cutralla,1235,394,8391,3106,Europe/Paris,Le Mans (Francia)
Volturyon,Volturyon,72,145,30446,6649,,Galiza comunista.
DavidCastelllo,DavidCastelllo,1472,1467,13685,7395,,República Catalana.
marle501,marle501,1418,644,37657,24388,Madrid,
jramirezmunoz,jramirezmunoz,313,515,26052,7798,,CEPR Miguel de Cervantes Álora
Cylon69,Cylon69,1251,1870,38422,10977,Athens,Madrid
SirGonzo49,SirGonzo49,27,19,55,8,,"Zuera, España"
javinavas10,javinavas10,73,25,328,159,,
VictorMCasco,VictorMCasco,1616,4384,15779,973,Hawaii,"Caceres, Extremadura"
22_dur,22_dur,1234,848,48498,24435,Belgrade,
Ciudadana18,Ciudadana18,317,158,20257,1001,,
RosaKempin,RosaKempin,2777,3158,96968,2278,,
REMolares,REMolares,225,67,4426,5256,,"Na berza, United Kingdom"
magdapujol8,magdapujol8,186,193,418,573,Pacific Time (US & Canada),Inca
rosarioscabota,rosarioscabota,141,151,7327,149,,España
MarinaLoveLMAR,MarinaLoveLMAR,314,275,3449,1534,Amsterdam,"Dos Hermanas, Sevilla"
Patry1898,Patry1898,305,272,5725,3893,,
fdepaularomi,fdepaularomi,273,50,95,47,Madrid,
Yedeparana,Yedeparana,120,51,282,29,,
elsupositorioTW,elsupositorioTW,1077,2392,3384,3429,London,Islas Canarias
BrazzrBulbasaur,BrazzrBulbasaur,40,64,8036,7808,Pacific Time (US & Canada),"Barcelona, Catalunya"
Satur11,Satur11,2069,613,15891,33,Greenland,
Nadiscris,Nadiscris,139,104,2501,1402,Madrid,
RaksoRock,RaksoRock,392,282,9030,4540,,"M gusta marihuana, m gustas tu"
tonigines,tonigines,1135,665,15606,667,,barcelona
jvelascoerro,jvelascoerro,84,335,101863,2175,,
davidrod689,davidrod689,239,222,11133,17813,,
minidexter,minidexter,745,1693,149166,13132,Greenland,La Zubia-Granada
alejandrorr85,alejandrorr85,44,22,176,23,,
EleuveMiau,EleuveMiau,135,106,2675,1419,Madrid,
Timebreaker__,Timebreaker__,476,137,6315,1860,Dublin,"Islas Canarias, España"
MuerdemeTu,MuerdemeTu,510,3562,248163,321076,Pacific Time (US & Canada),
JMKeepCalm,JMKeepCalm,550,506,4616,515,,"Lérida, ESPAÑA"
silvestrillo13,silvestrillo13,334,120,2236,40,,
vital_vialas,vital_vialas,239,80,268,295,,"Estocolmo, Suecia"
AnaBustamanteR1,AnaBustamanteR1,115,69,2124,3053,,
PixelRobot,PixelRobot,164,2990,17918,41757,Madrid,RGS
PEspain00,PEspain00,2334,1186,81471,1,Madrid,
ElPlanchista,ElPlanchista,111,115,9304,1559,Pacific Time (US & Canada),
javi_monforte6,javi_monforte6,766,463,3895,1589,,Estadio Vicente Calderón 
fmorales1980,fmorales1980,1389,471,15987,1550,Central Time (US & Canada),"Gainesville, FL"
Kryptlia,Kryptlia,87,270,26657,17015,Madrid,
diegodfq,diegodfq,749,173,5210,3743,Madrid,"Mieres-Xixón,Asturies"
Akitoy_Zen_Tao,Akitoy_Zen_Tao,511,187,9323,444,Pacific Time (US & Canada),
albatove18,albatove18,265,65,644,1037,,"País de Ooo, Región de Sinnoh"
Alinesigena,Alinesigena,131,755,33923,13809,Pacific Time (US & Canada),Valencia
IreneHSteel,IreneHSteel,116,308,7308,335,Madrid,Barcelona
juanccabello,juanccabello,1180,765,4495,786,Greenland,
joseluisgonza67,joseluisgonza67,5003,2953,19983,1322,Greenland,
punktumaca,punktumaca,283,919,31873,32404,Pacific Time (US & Canada),BCN ☭ 
fran_J03,fran_J03,87,33,774,606,London,Granada 
stakarabia,stakarabia,63,28,1262,5,,
ffzzzk,ffzzzk,232,22,1580,3498,Pacific Time (US & Canada), ᕕ( ᐛ )ᕗ
bloody_nuggets,bloody_nuggets,924,2016,6487,12461,Ljubljana,Entre letras y cafeína 
cristinvvv,cristinvvv,212,518,49911,41345,,
SoolGiuggiolini,SoolGiuggiolini,228,255,1815,1689,Athens,S E V I L L A
Sergiocarro93,Sergiocarro93,334,162,23982,2784,Madrid,
vaninka,vaninka,1644,573,9882,3085,Madrid,Vistiendo el negro en el Muro
CeliaFrithiof,CeliaFrithiof,122,131,1213,803,Madrid,
Micaeluchis_96,Micaeluchis_96,159,222,16242,8652,,In the middle of nowhere
AnikinGil,AnikinGil,521,802,69933,7377,,
Bokkata,Bokkata,377,180,12280,3439,Athens,
JohnConstantin1,JohnConstantin1,192,537,109852,57768,,Newcastle
RancelJonay,RancelJonay,307,99,3841,2275,,"Santa Cruz de Tenerife, España"
Cisner0ss,Cisner0ss,57,66,5758,5485,,"Sevilla, España"
alexpuigmora,alexpuigmora,143,164,3345,7,Madrid,twitter
Enemistario,Enemistario,39,21,479,1290,Ljubljana,
PATRICHI76,PATRICHI76,1800,1179,29772,3883,Madrid,Terrassa
Gema_Guerra,Gema_Guerra,1165,502,8033,6373,Madrid,
CesarStrawberry,CesarStrawberry,1358,18230,26382,13738,Amsterdam,Madrid (Sur de Europa)
ManoloPicoT,ManoloPicoT,2254,2274,42131,9285,Athens,València-Madrid
alenrich,alenrich,313,94,5729,39,Athens,
bertomene,bertomene,554,563,3786,415,,
AlvaroMiranda11,AlvaroMiranda11,675,345,16362,4279,Madrid,"Bucarest, Rumanía"
PedroPmotero,PedroPmotero,8361,11009,27541,19776,,Alicante
AQUILAGANDI,AQUILAGANDI,97,36,889,1370,,
IsidraOrtegaSa1,IsidraOrtegaSa1,72,93,11250,404,,
Itsvanxregui,Itsvanxregui,489,2350,27749,30447,Amsterdam,revolution is coming.
JokinFerreira,JokinFerreira,272,300,3972,3665,,Madrid
GonzatheBoss,GonzatheBoss,843,1057,26909,24773,,La Mancha-QnK (Castilla)
Sara_Pascual_C,Sara_Pascual_C,872,404,8706,2724,,Barcelona
Rubo_M2,Rubo_M2,369,190,3146,4361,Athens,Santander/Wroclaw/Madrid/??
marisoleloca,marisoleloca,130,46,973,557,,
Padre_SantoCR,Padre_SantoCR,40,16,9712,11448,,
EVIXD,EVIXD,370,216,5739,5645,Madrid,BARCELONA
JonSinNieve,JonSinNieve,96,126,18540,8597,Amsterdam,Contra el muro 
isabelarcos6,isabelarcos6,372,617,138687,12283,,"Madrid, Comunidad de Madrid"
jordigilp,jordigilp,196,128,1966,751,, Barcelona
Helena1039_,Helena1039_,275,429,12568,8573,Ljubljana,Jamás me encontrarás wey
Nagomrio,Nagomrio,101,74,842,1635,,
Cristina_Fular,Cristina_Fular,252,285,9532,22694,Madrid,"Ourense, Galiza"
LordoLordor,LordoLordor,319,6123,92582,2162,Madrid,
sdpp,sdpp,2091,714,11406,305,Madrid,"Madrid, Comunidad de Madrid"
InmiMadrid,InmiMadrid,100,778,18801,14968,Amsterdam,*** Relax!!! Ooohmmm!!! ***
Srta_Adler,Srta_Adler,405,88,1245,1958,,
SoniaFerGila,SoniaFerGila,288,356,9834,3403,Amsterdam,Madrid.
juliansmanzano,juliansmanzano,80,72,4224,1211,,
xngelfurler,xngelfurler,860,1025,39332,24471,Athens,"Leganés, España"
NanaJackpot,NanaJackpot,53,61,2451,1345,Athens,"Andalucía, España"
Strifeb12,Strifeb12,467,137,3236,957,Amsterdam,España
AtticusUve,AtticusUve,1031,1523,57277,17516,,
celiadelante,celiadelante,324,267,9423,3942,,
jomar96,jomar96,68,289,41863,21183,,Bebiendo cerveza con el gromp
XparadisedX,XparadisedX,2120,2956,48902,54369,Madrid,Tierra 
unarosadepaper,unarosadepaper,664,187,1260,9394,Madrid,"Pollença, PPCC"
Ceelpon,Ceelpon,619,960,59291,22233,Madrid,Asgard
elgarri44,elgarri44,553,73,9120,357,Athens,
ermm1,ermm1,1723,593,35749,13447,Madrid,España
Aleja_SM,Aleja_SM,1318,1041,20121,1073,Caracas,
piera_jordi,piera_jordi,1103,600,2084,199,Madrid,L´Hospitalet
vilasalva,vilasalva,6975,6895,30471,4623,Madrid,
trencapins73,trencapins73,986,229,3047,3516,Pacific Time (US & Canada),Països Catalans
emiliodiazrega1,emiliodiazrega1,715,83,1609,46,,España
Tona_ft,Tona_ft,421,333,787,619,Greenland,Barcelona
mig_boultache,mig_boultache,118,82,1352,94,,
iujovenesvallad,iujovenesvallad,2401,2343,26435,624,Madrid,Valladolid
SandraStark_,SandraStark_,339,1239,39912,22672,Pacific Time (US & Canada),
Anacifu3,Anacifu3,41,193,7893,4215,,Cifuentes
JPiquerjob,JPiquerjob,4780,5091,79467,11423,Madrid,"Valencia, España"
rocioanguita,rocioanguita,1761,1529,8377,9493,Madrid,
AndC_2,AndC_2,100,61,1987,576,Amsterdam,
auxiobrero,auxiobrero,164,165,3796,4279,Athens,"Sevilla, Andalucia"
clarineteoscuro,clarineteoscuro,138,159,11836,6516,,
languilli,languilli,295,269,6236,10501,,
Palopinchi,Palopinchi,60,84,2118,1225,Madrid,
WenceRivero,WenceRivero,380,293,8233,1363,,Las Palmas de Gran Canaria
Diego_tomahawk,Diego_tomahawk,216,237,10003,1464,,Asgard
feminismos_sol,feminismos_sol,618,13958,5080,137,Amsterdam,Madrid
MarDefez,MarDefez,7873,7494,37161,38575,Athens,"Albacete, Castilla-La Mancha"
JonPerotti,JonPerotti,609,258,15325,1611,Madrid,República Eslovaca
b_medialdea,b_medialdea,854,3636,5337,2306,,Madrid
Kasvi_,Kasvi_,249,1520,54697,49196,Belgrade,Madrid.
verginus,verginus,2641,2393,64215,11493,Madrid,"World War Web, Frontline"
tesa1961,tesa1961,100,90,23112,12029,,Valencia
XicuLopez,XicuLopez,283,239,7357,4703,,
PauLawliet,PauLawliet,758,840,23002,2420,Greenland,✧ ~Ｗｅｙａｒｄ~ ✧
AmaiaSoria,AmaiaSoria,293,533,11115,4735,Pacific Time (US & Canada),"Mungia, bizkaia "
fragacocafina,fragacocafina,472,202,23775,11918,,Na llama
Alberto11Roldan,Alberto11Roldan,498,245,7586,5458,Pacific Time (US & Canada),Ubrique
Iostboydarren,Iostboydarren,217,3283,127462,14767,Amsterdam,
ffchll,ffchll,647,1208,80101,183394,,
Brujabamp,Brujabamp,2411,1445,38893,14478,,df
lorenaperezleon,lorenaperezleon,762,972,21171,5643,Madrid,Aldea oculta de la hoja
ELENAGRACIA2010,ELENAGRACIA2010,580,185,3587,5224,Athens,"calle Wallaby, 42...Sidney"
lapaseata,lapaseata,5787,6058,133992,63128,Madrid,Desde Madrid en paseata
rominatf8,rominatf8,1541,1650,26825,4841,Pacific Time (US & Canada),"Regne de Mallorca, Towanda"
tonorev,tonorev,198,181,737,2540,Madrid,
Garzoniber1,Garzoniber1,400,275,4386,1116,Pacific Time (US & Canada),Con los gatos de Alberto 
JamPepo,JamPepo,807,696,16993,11902,,
shi_kha_she_,shi_kha_she_,200,108,24013,8706,Pacific Time (US & Canada),Valencia
zaizoibele,zaizoibele,308,183,2565,5398,,Euskal Herria
EAD97,EAD97,92,27,1523,1117,,
jfmfernandez201,jfmfernandez201,288,145,2101,327,,
CarlaNadal3,CarlaNadal3,280,703,13931,1768,Pacific Time (US & Canada),
AndreaFresco,AndreaFresco,149,111,5352,1153,Amsterdam,
esvica,esvica,562,334,4497,77,Madrid,Entre Barcelona i Lleida
RitaCatala,RitaCatala,2122,1561,22500,473,,
martiba77,martiba77,529,160,2084,2505,Madrid,A Coruña
10Rgj,10Rgj,49,4,21,0,,
LuciaBaneira11,LuciaBaneira11,265,246,2606,1909,Hawaii,
FresasDeFuego,FresasDeFuego,299,333,40387,14816,Madrid,Entre las páginas de un libro
Lindepe,Lindepe,320,1352,125828,36176,Pacific Time (US & Canada),A les antípodes del ramat
QarlesJ,QarlesJ,744,316,4803,741,,
Iker_Gastesi2,Iker_Gastesi2,285,258,1188,488,,\m/ Euskal Herria \m/
CeeliaVargas,CeeliaVargas,109,317,15624,4318,Madrid,"Cádiz, España"
lovelysnorky,lovelysnorky,167,835,24208,26330,Brussels,Spain
MARBUENO2,MARBUENO2,1230,414,1979,10661,London,State of Love and Trust
JusepeJose,JusepeJose,191,901,90196,159,Madrid,viva el vino
UnidadPopularAr,UnidadPopularAr,952,1524,23049,16673,Pacific Time (US & Canada),"Aragón, España"
xoeelbrgs,xoeelbrgs,251,63,5107,909,,"Vigo, España"
pepblai,pepblai,1277,1372,18728,3202,Madrid,Catalonia
MarisitaCrdoba,MarisitaCrdoba,171,275,7766,6360,,"Winterfell, Westeros."
carlos_hijate,carlos_hijate,583,696,6213,787,Madrid,
Larios_Cola1,Larios_Cola1,206,72,409,27,,
Psychopatic666,Psychopatic666,610,634,29938,9853,Madrid,Cádiz
TomasUser,TomasUser,982,320,13686,7842,Madrid,
MLSCH17,MLSCH17,318,223,14870,3034,Madrid,
LorePonxu,LorePonxu,196,54,199,6,,Madrid
locurablumettra,locurablumettra,233,49,2915,5176,,
MiCirueloYyo,MiCirueloYyo,61,52,1718,44,Pacific Time (US & Canada),España
IvaanEna,IvaanEna,143,84,532,815,Pacific Time (US & Canada),"Huesca, España"
Raquel20f,Raquel20f,292,282,4793,1039,Greenland,
JoseGomezVidal1,JoseGomezVidal1,317,131,916,6767,,"Ferrol, España"
dani_precintat,dani_precintat,599,188,4556,342,Paris,"ÜT: 41.406461,2.204451"
Srnikotina,Srnikotina,296,261,9028,3849,Central Time (US & Canada),
calderonblues,calderonblues,350,260,16517,1668,Madrid,Fuenlah-Villarejo-Copenhague
mlopezz12,mlopezz12,22,4,13,26,,
RebeckaRullan,RebeckaRullan,727,158,9178,1476,,
CaraDeSobaco1,CaraDeSobaco1,625,780,42150,16021,Athens,"EN LA PIÑA , debajo del mar "
uranillo1954,uranillo1954,335,119,5318,304,,Catalunya
StayTrueorGTFO,StayTrueorGTFO,299,3458,105062,41611,Madrid,"Pasado, presente y futuro."
Slow_Dancer_,Slow_Dancer_,357,95,68004,23859,Madrid,En mi habitación
rodrimartinez10,rodrimartinez10,52,152,538,343,,León
ctxt_es,ctxt_es,3038,73282,97295,25332,Madrid,"Madrid, España"
BenignoCuevas,BenignoCuevas,224,75,6501,3203,Madrid,"Ponteareas, España"
Livinx222,Livinx222,409,503,101572,9084,Madrid,"Korriban, Espacio Sith"
choijongg,choijongg,336,703,51636,5550,Casablanca,Arcadia Bay. 부산 
JuanMaStark,JuanMaStark,242,128,1434,385,Greenland,Córdoba
MrDaltoniano,MrDaltoniano,214,248,32184,11066,Madrid,"Madrid, Comunidad de Madrid"
