ID,Label,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
IgnasiCandela,IgnasiCandela,2017-03-30 13:57:19,"Aquella noche en la q honramos al primer astronauta español...un tal Carrero Blanco
#IndultoParaCassandra… https://t.co/LXd1p9MGmr",1026,1904,4063,4226,Madrid,Alacant / Madrid
Chapi_71,Chapi_71,2017-03-30 13:57:17,RT @cristina_pardo: Ha sido usted condenada por sus tuits de Carrero Blanco. Proceda a la entrega de su teclado y a la desarticulación de s…,743,572,3742,2274,Athens,Burguillos (Sevilla)
luzdelacalle,luzdelacalle,2017-03-30 13:57:14,RT @ctxt_es: Hola @aprensamadrid. Hemos lanzado este manifiesto contra la condena a #Cassandra. Si queréis sumaros... https://t.co/rvYvcru1…,507,254,12032,577,,
obafemi_99,obafemi_99,2017-03-30 13:57:13,"RT @ulises_sevilla: - y a ti, ¿por qué te encerraron?
- chistes de Carrero Blanco, ¿y tú?
- títeres https://t.co/mMm3GYkRxZ",1171,274,4768,1613,Amsterdam,Milano-Donostia
Kongriov,Kongriov,2017-03-30 13:57:12,"RT @Well086: Que tontos sois haciendo chistes de Carrero blanco, cuando podéis hacer chistes de los catalanes que nunca os pasará nada coño…",107,65,5852,526,Madrid,
bamba81,bamba81,2017-03-30 13:57:12,EL ATENTADO DE CARRERO BLANCO 20 12 73 https://t.co/r4rdfIFx2e,376,64,345,165,,"Palma, España"
RockmareaFern,RockmareaFern,2017-03-30 13:57:12,RT @elmundotoday: Francisco Franco condena a un año de cárcel a una tuitera por hacer chistes sobre Carrero Blanco https://t.co/okckZgltId…,112,62,4191,671,,
mmontesdorado,mmontesdorado,2017-03-30 13:57:11,RT @bufetalmeida: Caso Cassandra: un ridículo jurídico nacional (que se convertirá en internacional). https://t.co/B40AG5RM8N,327,92,7314,998,London,creuant el Rubicó (l'Ebre)
AnOceanInMySoul,AnOceanInMySoul,2017-03-30 13:57:10,"RT @jovenesenpie: Cassandra Vera condenada a un año de prisión por chistes de Carrero Blanco. Mientras, los que saquean lo de todas siguen…",716,683,41416,4482,Madrid,"In Wonderland, bitches. "
Danismilelou,Danismilelou,2017-03-30 13:57:10,"RT @PabloMM: Mi padre contaba que tras la muerte de Carrero Blanco, en los bares de confianza, se decía: ""pida vino tinto, el blanco está p…",123,63,1424,757,Athens,el abismo
KGYIH,KGYIH,2017-03-30 13:57:08,"RT @PabloMM: Mi padre contaba que tras la muerte de Carrero Blanco, en los bares de confianza, se decía: ""pida vino tinto, el blanco está p…",364,614,139524,1544,Madrid,Galicia-Canada-San Junipero
Einyel16,Einyel16,2017-03-30 13:57:07,"RT @chselles: Para que quede claro: Carrero Blanco, víctima; los 114.000 desaparecidos del franquismo, pasado",203,99,62572,25237,Madrid,Carthago Nova
analani,analani,2017-03-30 13:57:07,RT @ctxt_es: Hola @aprensamadrid. Hemos lanzado este manifiesto contra la condena a #Cassandra. Si queréis sumaros... https://t.co/rvYvcru1…,2371,1920,51383,1431,Madrid,"Comunidad de Madrid, España"
esturkita,esturkita,2017-03-30 13:57:07,RT @tecn_preocupado: @juanitounodinoi @KingsMiss Estos hilos sobre Carrero Blanco son los que me gustan https://t.co/mwIpxWZiqu,2371,1212,63656,13935,Greenland,
enadorod,enadorod,2017-03-30 13:57:01,"RT @ElAmanteDelRap: Madre mía los chistes de Carrero Blanco, cómo se pasan. https://t.co/gUCTNH0YZw",95,43,719,952,,
Manu_S_Q,Manu_S_Q,2017-03-30 13:57:00,"RT @llimoo: con la condena a cárcel de Cassandra Vera por unos tweets sobre Carrero Blanco, el PSOE ha hecho lo que mejor saber hacer: abst…",516,250,7719,7081,Madrid,Grand Line
Asesinodealmas,Asesinodealmas,2017-03-30 13:57:00,"RT @PabloMM: Mi padre contaba que tras la muerte de Carrero Blanco, en los bares de confianza, se decía: ""pida vino tinto, el blanco está p…",657,400,13377,6251,,"Granada, Andalucía"
roserblasco,roserblasco,2017-03-30 13:56:59,RT @Berlustinho: Os dejo unos cuantos chistes sobre Carrero Blanco condenados con cárcel: https://t.co/TfiDgzyFU7,476,122,2150,916,,
gelvoi_,gelvoi_,2017-03-30 13:56:59,"RT @ulises_sevilla: - y a ti, ¿por qué te encerraron?
- chistes de Carrero Blanco, ¿y tú?
- títeres https://t.co/mMm3GYkRxZ",1046,313,5747,7104,Madrid,
JUANMESTOM,JUANMESTOM,2017-03-30 13:56:57,"RT @ctxt_es: Manifiesto de apoyo a Cassandra Vera.  #YosoyCassandra Basta de mordazas. 
¡Súmate!
 https://t.co/FLH7dpJGDC https://t.co/mdzq…",483,123,6215,2131,Athens,el ppais de los chorizos
Riky596,Riky596,2017-03-30 13:56:56,"RT @HermanosPelaez: A ver si lo entiendo:
¿Tiene más condena hacer chistes sobre la muerte de Carrero Blanco QUE MATAR A CARRERO BLANCO?? h…",553,196,2059,5465,Amsterdam,
MabelFigueruelo,MabelFigueruelo,2017-03-30 13:56:52,RT @Esparroqui: Carrero Blanco sigue encarcelado a rojos. Pero no sé si lo tiene el PP en nómina o trabaja de autónomo desde el más allá.,889,1380,78297,29282,,
2412Jm,2412Jm,2017-03-30 13:56:51,RT @Nanchinho: La misma hiprogresía que hoy llama dictador a Carrero Blanco lloraba hace unos meses por la muerte de Fidel Castro.,663,520,19659,29716,,
juankarmv,juankarmv,2017-03-30 13:56:51,"RT @vmm7773: Justicia española:
Saco la lúpara y disparo➡gracioso chascarrillo
Carrero Blanco voló➡enaltecimiento terrorista
#LaCafeteraLaR…",449,1133,89116,221,,
moreiras26,moreiras26,2017-03-30 13:56:49,Gallego ten en cada programa adorables editoriais incendiarios pero este é inmellorable. Difundide!!! https://t.co/c0SOlmPRCL,405,360,2140,1098,Madrid,
RosaSanzD,RosaSanzD,2017-03-30 13:56:48,RT @agarzon: Genial artículo de @carnecrudaradio sobre Carrero. No fue víctima del terrorismo sino un terrorista de la dictadura: https://t…,314,92,639,202,Madrid,Barcelona
TheMightyManu,TheMightyManu,2017-03-30 13:56:47,"RT @cayeruby: Un año de prisión por unos tuits sobre Carrero Blanco.
En libertad sin fianza por estafar millones de euros.
España, justicia…",82,33,1270,1507,,
MarcosTerolLlor,MarcosTerolLlor,2017-03-30 13:56:47,RT @Xuxipc: ÚLTIMA HORA: La Fiscalía pide resucitar a Tip y Coll para poder juzgarles por este chiste sobre Carrero Blanco. https://t.co/NA…,294,148,3522,1956,Madrid,
gemon68,gemon68,2017-03-30 13:56:45,"RT @SrCaronte: Sobre el temita, sólo diré que ayer Carrero Blanco subió muy alto en los TT. No me extraña.",851,477,58855,30281,Madrid,En el Foro
DanubeMelul,DanubeMelul,2017-03-30 13:56:45,"@rapero4dead @kisama1984 Ni hay sentencia de inhabilitacion, ni el almirante Carrero Blanco, q en paz descanse, era un dictador.",232,189,1609,2326,,
BertoOrio97,BertoOrio97,2017-03-30 13:56:42,"RT @OjeteAlmendra_: - ¿Qué dices pequeño? ¿que los chistes de Carrero Blanco asesinaron a tu madre y quemaron tu dulce hogar? eso está mal,…",267,281,3400,1594,,
Juanon0768,Juanon0768,2017-03-30 13:56:42,"RT @G_landaburu: Un año de carcel por hacer un chiste sobre Carrero Blanco, es un despropósito y un sinsentido que me recuerda el asunto de…",467,53,1426,72,,
manubertran10,manubertran10,2017-03-30 13:56:42,RT @juralde: #Cassandra condenada a un año de prisión por hacer tuits sobre Carrero Blanco...¿Donde quedó la Justicia? #Lamentable,2072,1429,384,4323,,
ChadelgaCharo,ChadelgaCharo,2017-03-30 13:56:41,"RT @nacho991960: Los autores atentado a Carrero Blanco fueron amnistiados en 1977,no cumplieron condena,en 2017 por un tuit Cassandra Vera…",263,129,5858,60,,
jordi_rouge,jordi_rouge,2017-03-30 13:56:38,"RT @XavierAntich: Carrero Blanco, Francisco Franco, Juan Carlos de Borbón
Esto no es ninguna broma, Audiencia Nacional (ex-TOP) 
#YoSoyCass…",854,915,59143,33740,Madrid,Barcelona Catalunya.
Juamp22,Juamp22,2017-03-30 13:56:38,"RT @CunadoDeTuiter: No hay que saltarse la ley, por eso condeno todo chiste sobre Carrero Blanco y veo justo el encarcelamiento, esto era u…",511,274,5515,947,Athens,
