Source,Target
normablanco66,protestona1
MadnessPonekorn,esecundarios
andres_tecno,subversivos_
AdolfInd4Hood,moedetriana
846jose,subversivos_
846jose,TeoGarciaEgea
toniescandell3,protestona1
Little_Soraly,moedetriana
CAPTAIN_BORDURE,xaviconde
antictona,thot_elite
Franciscoalbaca,subversivos_
moran_emortor,sextaNoticias
moran_emortor,darioadanti
moran_emortor,revistamongolia
J_Karlos97,_ju1_
antictona,subversivos_
antictona,TeoGarciaEgea
JC_SepMac,subversivos_
ANTONIACUE,subversivos_
lorealex99,_ju1_
846jose,protestona1
alexgato74,subversivos_
smonicats,eclementen
gleditsia66,protestona1
EstudiantePablo,subversivos_
EstudiantePablo,darioadanti
Franvallelindez,SextaNocheTV
Franvallelindez,jesusmarana
marnav96,moedetriana
LiliaMisnovelas,fcantero
ANGCONPAS,subversivos_
JGPR_1992,subversivos_
thepussyriot,antibabosos_
jmpelleja,Lolo_Sev
medulio22,angelmoran1957
medulio22,subversivos_
andres_tecno,subversivos_
andres_tecno,TeoGarciaEgea
Vgxstin,_ju1_
SpideyForever,tvidriales
machadodz,elmundotoday
JavierArocaA,subversivos_
cariocache,subversivos_
cariocache,TeoGarciaEgea
uluwatu1714,RataDesletrada
asparuh7,Lolo_Sev
LolVia_14,subversivos_
LolVia_14,TeoGarciaEgea
nereamente,iunida
WGaztea,JavierLezaola
DavidRA_dai,_ju1_
AJWOWWW,kira_95
carmeroso,El_Plural
Emigrante_69,elmundotoday
sergiokfe,_ju1_
asparuh7,subversivos_
asparuh7,TeoGarciaEgea
FenixBlava,moedetriana
goiko1974,pacomarhuenda
goiko1974,kira_95
VictorGonz54,Lolo_Sev
pvpe,NuevaRevoluci0n
pvpe,LuisAneiros
serpico9810,elpadrecorajede
Diego_Getafe89,Sr_Dios
everian777,subversivos_
everian777,TeoGarciaEgea
_FallingAway__,moedetriana
carmepamies,PicHills
carmepamies,kira_95
kieroirmeamarte,subversivos_
Islasenred,Tyrexito
jordi_bioinfo,IgnasiCandela
IsabelBecerra23,fermont1965
troyana25,Lolo_Sev
republicarlos,ElviraLindo
republicarlos,el_pais
EbbaSjolen,eldiarioes
pablixardixmad,_ju1_
Lunna_77,miky_co
LuisSierra95,fermont1965
ICervantesI,Lolo_Sev
Dieegoar99,fermont1965
angelmoran1957,subversivos_
angelmoran1957,subversivos_
serpico9810,protestona1
jotae1e,subversivos_
jotae1e,TeoGarciaEgea
juanmayconxita,subversivos_
Flynfly84,xaviconde
mafalda_mas,protestona1
KileKraz,_ju1_
LopezVillaverde,eclementen
josalv74,moedetriana
anavarroortiz,subversivos_
anavarroortiz,TeoGarciaEgea
Alicia_Alii8,_rudegirl8_
miguelsajoma,protestona1
1960Anamari,thot_elite
EduFran24,thot_elite
republisiado,protestona1
carralportas,_ju1_
Leo_Burghaus,xaviconde
tonifix,revistamongolia
VictorAlmaciga,subversivos_
VictorAlmaciga,TeoGarciaEgea
poema29,subversivos_
garirius,moedetriana
Yeclando,subversivos_
monclus,PipoBB8
AndyAndrex,PipoBB8
serpico9810,AntonioMaestre
ruimardi,Lolo_Sev
EmeCe_sp,thehardmenpath
Fucking_RED_cat,miky_co
vou_de_cu,Lolo_Sev
mercedescloilde,subversivos_
menorqtres,_ju1_
mstrubell,RataDesletrada
martinopaz,subversivos_
martinopaz,TeoGarciaEgea
Lara_Limoncelli,DigoqueNO
yahcono33,subversivos_
yahcono33,TeoGarciaEgea
HordasMoradas,protestona1
Tunoeres29,Giskexe
pepfusterbm,gerardotc
mvalls54,subversivos_
bette_noir__,subversivos_
serpico9810,subversivos_
serpico9810,TeoGarciaEgea
Ibangarciadb,tatifernanmor
Ibangarciadb,Ibangarciadb
Ibangarciadb,eldiarioes
XaviOnFire,NuevaRevoluci0n
XaviOnFire,LuisAneiros
TikisMikicho,subversivos_
TikisMikicho,TeoGarciaEgea
PerditaMungia,carnecrudaradio
k4rlospz,subversivos_
k4rlospz,TeoGarciaEgea
chuchoquehabla,subversivos_
chuchoquehabla,TeoGarciaEgea
Madamesoy,arianeabm
angelmoran1957,tecn_preocupado
angelmoran1957,mani_calavera1
chuchoquehabla,thot_elite
6b47e7642cda4fb,tecn_preocupado
MariAngelesyAnt,protestona1
jmcasana,moedetriana
xavi__85,subversivos_
xavi__85,darioadanti
iryna97_,_ju1_
tose1974,SextaNocheTV
tose1974,jesusmarana
serpico9810,subversivos_
6b47e7642cda4fb,tecn_preocupado
6b47e7642cda4fb,mani_calavera1
JoaquinVillenaG,protestona1
tose1974,SextaNocheTV
tose1974,JavierArocaA
piteralber,protestona1
annam1181or,EDMANUEL1234
PatriotaPopular,_ju1_
annam1181or,revistamongolia
NoemiRosValenc2,subversivos_
antoniovaldez6,Lolo_Sev
NuevaRevoluci0n,LuisAneiros
PerditaMungia,carnecrudaradio
JuaninElAgrio,NuevaRevoluci0n
boletadarros,protestona1
Marrtapm,thehardmenpath
JavierBarrondo,protestona1
BakuninDeCopas,protestona1
adoyma,Lolo_Sev
mercedescloilde,Lolo_Sev
imdariusb1tches,anzotiro
Guarii,AntonioMaestre
darry_rmcf,dolaresyrublos
NachoBetis,_ju1_
LaloCasemiro,xaviconde
gabrielamartf,protestona1
jcrespsa,MistralS
PuesPioPio,Lolo_Sev
bernat_cim,RataDesletrada
garcia_cabetas,subversivos_
95Mochon,protestona1
CrimsonInari,protestona1
carlos_asga,_rudegirl8_
santifer_8,eljueves
NachoBetis,AntonioMaestre
andiaky,sextaNoticias
andiaky,darioadanti
andiaky,revistamongolia
AnonMato,nika_news_
AnonMato,PSOE
marcedber,Lolo_Sev
MarBcn04,Lolo_Sev
jimmy_deloane,el_de_siempre
jimmy_deloane,Rafa_Hernando
juliangrau,protestona1
f_mjose,protestona1
tatifernanmor,Ibangarciadb
tatifernanmor,eldiarioes
vicenssala,subversivos_
missblackxs,Tyrexito
xavi__85,subversivos_
xavi__85,TeoGarciaEgea
jimmy_deloane,ulises_sevilla
tuverash,_ju1_
si_k_podemos,nika_news_
si_k_podemos,PSOE
vicenssala,protestona1
exZompivoro,subversivos_
exZompivoro,TeoGarciaEgea
SrtaAlcatraz,BobEstropajo
fjfaviru,Lolo_Sev
NWSideWally,DxncingForRain
salchi55,subversivos_
smartchoni,xaviconde
NedaO2,_ju1_
AnonMato,Lolo_Sev
oldfanegas,protestona1
MariaDo62116034,protestona1
nadia699f,varuenfurecido
doncarioco,Lolo_Sev
Angel76141363,SextaNocheTV
Angel76141363,jesusmarana
aguilarobrero,revistamongolia
A_LifeGags,subversivos_
A_LifeGags,darioadanti
95Mochon,Lolo_Sev
JoaquinVillenaG,Lolo_Sev
vallekanosinmas,ChicoEnBermudas
eiacosta,protestona1
creepcarlos,subversivos_
creepcarlos,TeoGarciaEgea
ngarrigosp,protestona1
Lo7Lopez,subversivos_
CarmenMayordom1,Lolo_Sev
rokiojt,MistralS
yanynay,SextaNocheTV
yanynay,JavierArocaA
Aria_Darko,RosaKittieChaos
ReusXXI,AntonioRNaranjo
ReusXXI,MonsieurSansFoy
Moratistan,protestona1
Siket367,Lolo_Sev
Radiclaro,JavierLezaola
merlotelli07,_ju1_
bisonfou,protestona1
jmpelleja,subversivos_
MariaanGinard,protestona1
jmpelleja,protestona1
Pau_phappy,_rudegirl8_
nadia699f,nika_news_
nadia699f,PSOE
cabrerovlc,protestona1
charicebrianten,anaisbernal
charicebrianten,carnecrudaradio
kassov,protestona1
xJohnlockIsReal,antibabosos_
pelandusko,varuenfurecido
wetefuenla,_ju1_
JoBadajoz,AntonioMaestre
NoeSanchis_,_rudegirl8_
artursm6,Ranoflauta
JoBadajoz,AntonioMaestre
Placedalia1,tecn_preocupado
q_Raquel_p,RataDesletrada
JuanLopezMauro1,AntonioMaestre
Lokinne,eldiarioes
Siket367,subversivos_
Siket367,TeoGarciaEgea
MonicaICalzada1,varuenfurecido
MartinGoBanana,fermont1965
pacocases1,AntonioMaestre
Cjdb1971,subversivos_
neljulger,_ju1_
neljulger,kira_95
neljulger,Xuxipc
yahcono33,subversivos_
PiedrafitaMario,protestona1
manueljarias,protestona1
perezmant,carnecrudaradio
jotae1e,subversivos_
jotae1e,darioadanti
JSancibri,subversivos_
piensoluegoesto,subversivos_
belballesteros,AntonioMaestre
quepeshavivi,_ju1_
JLKBZAZ,Lolo_Sev
fbenavid,_ju1_
JoaquinVillenaG,nika_news_
JoaquinVillenaG,PSOE
Siket367,protestona1
HombrePerFeivor,MrPinturetas
HombrePerFeivor,Spanish_Avenger
HombrePerFeivor,Tigresa3178
HombrePerFeivor,kira_95
HombrePerFeivor,JimmyWangYu
HombrePerFeivor,perrrolo
indietime__,laurited
Ranoflauta,artursm6
Ranoflauta,Miss_Bickle
Ranoflauta,kira_95
Ranoflauta,annagrauarias
breogan61,RataDesletrada
GonzaloOria,_ju1_
46ariel46,carnecrudaradio
CerdeiraAngel,moedetriana
_Karme,JesusSanchez__
onairammariano,Lolo_Sev
Arnaiztech,_ju1_
Carmen_R_M_,protestona1
alber_tic,Lolo_Sev
FormicidaX,protestona1
divorra,_ju1_
RauLosanez,ElviraLindo
RauLosanez,el_pais
MonicaICalzada1,protestona1
akhenatensocial,HermanosPelaez
manueljarias,Lolo_Sev
HecthorMel,_ju1_
JoBadajoz,AntonioMaestre
ManelBondia,revistamongolia
JuanyGar63,nika_news_
JuanyGar63,PSOE
BebesSema,nika_news_
BebesSema,PSOE
pipeledesman,_ju1_
PaolaOsuna19,respetocanas
ChumyTheWicked,_ju1_
ignaciofalcon07,ctxt_es
ALEXb2488,_ju1_
