ID,User,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
848324008999301121,normablanco66,2017-04-01 23:59:39,"RT @protestona1: #L6Nlímitehumor Carrero Blanco era un verdugo del régimen criminal franquista. No era una víctima, era un asesino.",2896,1770,68632,22545,Madrid,"Valdemoro, Comunidad de Madrid"
848323838056296448,MadnessPonekorn,2017-04-01 23:58:58,RT @esecundarios: Con Carrero Blanco no pero ¿se sabe si con Carrero Negro se pueden hacer chistes? https://t.co/5I4XxelQ8B,527,235,25439,23338,Amsterdam,2°estrella a la derecha. 
848323836525379584,AdolfInd4Hood,2017-04-01 23:58:58,No puedo con los chistes de Carrero Blanco lo prometo jajajja,420,420,18325,19247,,"Leganés, Madrid"
848323793173049345,andres_tecno,2017-04-01 23:58:48,"RT @subversivos_: ""Lo que es un chiste es que en España Carrero Blanco tenga un ducado, y una falta de respeto a la democracia"" @JavierAroc…",307,215,28303,2306,,Fuerteventura. 
848323743101464576,AdolfInd4Hood,2017-04-01 23:58:36,"RT @moedetriana: Fuera bromas, lo que se merece Carrero Blanco es un homenaje por todo lo alto. 

Aquí la playlist del acto: https://t.co/r…",420,420,18325,19247,,"Leganés, Madrid"
848323690907488256,846jose,2017-04-01 23:58:23,"RT @subversivos_: Vaya zasca que recibe @TeoGarciaEgea de Xavier Sardá : ¿Pero Carrero Blanco era un terrorista, lo sabes? ¡Zasca! 🤣🤣🤣
#L6N…",783,699,19059,11953,,Palma
848323643407048705,toniescandell3,2017-04-01 23:58:12,"RT @protestona1: #L6Nlímitehumor Carrero Blanco era un verdugo del régimen criminal franquista. No era una víctima, era un asesino.",104,104,610,146,,"Eivissa, Pitiüses "
848323520996282368,Little_Soraly,2017-04-01 23:57:43,"RT @moedetriana: Fuera bromas, lo que se merece Carrero Blanco es un homenaje por todo lo alto. 

Aquí la playlist del acto: https://t.co/r…",131,262,63609,14203,Athens,En las puertas del averno. ♡
848323515120005124,CAPTAIN_BORDURE,2017-04-01 23:57:41,RT @xaviconde: Paco Sanz haciendo chistes sobre Carrero Blanco para poder luego dar el Paypal.,285,99,28782,27756,,Mandril
848323442566995969,antictona,2017-04-01 23:57:24,"RT @thot_elite: La monarquía fue el segundo Joker de Franco,después de Carrero Blanco ..Y así seguimos en Dictadura por herencia..apoyada p…",2156,1039,24146,6900,,Spañistan.
848323428864200708,Franciscoalbaca,2017-04-01 23:57:21,"RT @subversivos_: ""Lo que es un chiste es que en España Carrero Blanco tenga un ducado, y una falta de respeto a la democracia"" @JavierAroc…",454,541,60269,38476,,
848323407670333440,moran_emortor,2017-04-01 23:57:16,"RT @sextaNoticias: VÍDEO @darioadanti, fundador de @revistamongolia, lee un chiste popular sobre Carrero Blanco de 1977 #L6Nlímitehumor htt…",213,153,18805,12334,,
848323386837270528,J_Karlos97,2017-04-01 23:57:11,"RT @_ju1_: Pero vamos, lo de Cassandra, Carrero Blanco y todo este crecimiento de la reacción lo explica muy bien Evaristo https://t.co/cd8…",240,500,15684,10180,,Sevilla Antifa
