ID,Label,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
EcoPolt,EcoPolt,479,135,14114,388,Belgrade,León
naked1926,naked1926,770,270,3603,3278,,
symptxm_,symptxm_,98,97,4941,8659,Amsterdam,
pelonchi1,pelonchi1,2853,2576,33061,37152,,
JovenOculto,JovenOculto,12,15,549,738,,
Salvaseco,Salvaseco,82,42,2861,2441,,
ElGalloRojo2,ElGalloRojo2,508,1053,68969,34470,,Воркута - Welcome to gulag
EbAsErO,EbAsErO,289,115,7633,915,Greenland,Al sur de los Pirineos.
belkike,belkike,1139,1138,32785,22285,Madrid,
marimardona,marimardona,4372,4727,126487,10979,Fiji,Zaragoza 
david_zaplana,david_zaplana,1265,2278,103222,77362,Pacific Time (US & Canada),"Galiza, URSI"
DFalagn,DFalagn,5002,1599,12996,2678,Amsterdam,España Republicana
rubendisimo,rubendisimo,417,212,12410,3947,Athens,"Mérida,España"
IdealistaCarmen,IdealistaCarmen,215,165,9427,76,,
1263jfc,1263jfc,4999,4046,53462,38159,,
covadongaxixon,covadongaxixon,82,42,259,717,,
eliarpon,eliarpon,170,60,3208,161,,"el arco city,Logroño"
Zaryen7,Zaryen7,128,215,15775,4117,Madrid,De la terreta
Gosparworld,Gosparworld,3649,2410,67489,32672,Madrid," Gospel & Love & Awareness,"
LuisaMariaCB,LuisaMariaCB,390,654,6244,2813,Madrid,LINARES✅
A_LifeGags,A_LifeGags,711,486,35472,1879,Madrid,"Madrid, Spain ( ͡° ͜ʖ ͡°)"
f_alguacil,f_alguacil,645,609,7167,336,Brussels,Barcelona 
fcr501,fcr501,125,1163,329038,116691,,
NirviLXIX,NirviLXIX,506,881,37944,30027,Mountain Time (US & Canada),Extremaydura - Sevilla
MariaAponteG2,MariaAponteG2,124,62,6126,5521,,
Beltza_Poulain,Beltza_Poulain,663,1387,38058,21004,Greenland,En las nubes de Asturias.
panceta348,panceta348,88,311,33503,26992,Madrid,"Madrid, Comunidad de Madrid"
Jororoge,Jororoge,508,112,10776,9696,,Allende los mares
ferrocacaman1,ferrocacaman1,37,5,458,247,,"Alcalá de Henares, España"
DavidMcwire,DavidMcwire,373,297,3044,1853,Pacific Time (US & Canada),"Vallekas puerto de mar, Madrid"
Fealverde91,Fealverde91,590,546,27746,854,Madrid,ferrol
pingusalvaje,pingusalvaje,719,1523,39896,11711,Madrid,
gabrig17,gabrig17,272,119,923,963,Ljubljana,Barcelona
pablocayetano11,pablocayetano11,177,206,10073,4223,Amsterdam,Daikoku Futo - Akina
Andrea14_Bustos,Andrea14_Bustos,373,601,37235,2893,Casablanca,"Sevilla, España"
ArantzaMaira,ArantzaMaira,548,307,20073,1618,,Madrid
Blood_stone28,Blood_stone28,1009,232,14601,7025,Madrid,
toni2199,toni2199,694,146,1489,10783,,"Vilanova i la Geltrú, España"
OpazoAdrian,OpazoAdrian,180,265,33642,15082,Madrid,"Abadiño, España"
AlwysWild,AlwysWild,204,98,1024,292,Amsterdam,Paradero desconocido
coapicito,coapicito,1256,572,17551,137,Madrid,
Varosky95,Varosky95,62,11,290,11,Pacific Time (US & Canada),Nowhere
Missdispersa,Missdispersa,494,167,3287,10413,,
MissHedone,MissHedone,656,1496,154587,36163,Madrid,Sala común de Slytherin
show_no_mercy00,show_no_mercy00,113,109,9431,7033,,
milicianorojo,milicianorojo,169,60,6118,126,,
electra10600,electra10600,415,245,7992,1102,Madrid,Plasencia
TheLustyLara,TheLustyLara,263,723,28412,5004,Pacific Time (US & Canada),Con @ProtectorOfLust
BelnAragn,BelnAragn,562,145,479,98,,
acblancc,acblancc,3549,1116,4076,93,,MEX/EEUU
angsimpa,angsimpa,3974,4418,330786,129466,Madrid,
artemerito,artemerito,2242,2158,33174,4369,Madrid,mérida España
Maruchi03650178,Maruchi03650178,121,30,944,587,,"Granada, España"
victor86_tw,victor86_tw,83,19,988,34,Madrid,
EmilioVicedo,EmilioVicedo,527,465,11967,4402,Madrid,"Canals, Valencia"
MJoseLajarin,MJoseLajarin,657,606,14022,9831,,
godoitos,godoitos,861,1362,64525,12091,London,Manchester
Monikachu_17,Monikachu_17,361,393,26537,8445,Athens,Ojalá Narnia.
marineveteranm4,marineveteranm4,601,429,23523,12881,Athens,Nostromo
Khamaleona,Khamaleona,171,241,7664,3710,Pacific Time (US & Canada),
ripalda76,ripalda76,5001,2249,108964,526,,tuyter
xirinacsalsenat,xirinacsalsenat,97,124,18604,6780,,
AndreaCasaresR,AndreaCasaresR,703,795,13065,3952,Madrid,Rapture / Granada
tuticomalat,tuticomalat,64,116,6510,7572,Athens,
Gabrielaslgdp,Gabrielaslgdp,514,588,32770,21689,Belgrade,"Vigo,GZ"
gesaleco,gesaleco,153,33,403,698,,"Pamplona, Spain"
Davevarome,Davevarome,251,312,5822,1002,Athens,"Granada, España"
verolozman66,verolozman66,599,521,63802,16252,,
AnaMariaNyan,AnaMariaNyan,292,337,9739,6146,Madrid,la Nochesfera
aniana59133508,aniana59133508,593,361,18746,2232,,
Robcampnou67,Robcampnou67,2888,3572,214183,21103,Athens,valladolid
podemosLaZubia,podemosLaZubia,406,936,35837,10585,Brussels,La Zubia (Granada)
serra_23,serra_23,265,389,31931,1841,,
Ferviviond,Ferviviond,358,188,6559,658,,
SaenzQuevedoL,SaenzQuevedoL,150,98,1750,920,,Euskal Herria-Irlanda
EvaWilliamDavis,EvaWilliamDavis,344,254,5878,6267,,
MortyViu,MortyViu,2357,547,18326,506,Paris,Catalunya
vegareyes2014,vegareyes2014,127,14,779,326,Pacific Time (US & Canada),tijuana B.C churubusco #55 tomas aquino
cocoesmedia,cocoesmedia,571,665,12833,3649,Central America,El Salvador
tonifix,tonifix,478,48,874,745,Madrid,
AbueloBala,AbueloBala,133,3120,3954,4376,,
TheCeliest,TheCeliest,608,433,14287,2677,Pacific Time (US & Canada),
elisaz_idk,elisaz_idk,447,274,2624,2393,Belgrade,In a black hole
mekesingo,mekesingo,176,47,400,508,Pacific Time (US & Canada),Santa Cruz de la Sierra
AigorKajones,AigorKajones,88,48,568,972,,
Javigf_997,Javigf_997,87,117,3858,3704,,Sevilla
rosanarosae,rosanarosae,2132,988,7998,5752,,Twitter
Kitos_Cant,Kitos_Cant,1487,2665,35723,9489,Madrid,Santander (Cantabria)
beatatocao,beatatocao,441,1150,67079,12773,Athens,
anaisbernal,anaisbernal,3041,9073,84172,16651,Greenland,Málaga - Barcelona
TaraEscarlata,TaraEscarlata,3444,5151,286651,111627,,
manumelcon,manumelcon,867,459,1547,3366,,España
regaliza2003,regaliza2003,2412,3182,211269,76053,Amsterdam,Mi pintor fav: Olivier Rouault
mariiihuanO,mariiihuanO,684,712,46329,11287,Casablanca,Mongolia
eloyete14,eloyete14,58,112,1868,1190,,República Socialista de España
puesnocaigo,puesnocaigo,241,564,15386,9506,Madrid,A veces no coincido conmigo
elvirayyo,elvirayyo,349,676,74085,8653,Madrid,A la izquierda siempre.
laguis12,laguis12,148,88,868,287,,"Guissona, Catalunya"
cclapton1,cclapton1,4683,2914,17531,12395,Pacific Time (US & Canada),
