ID,User,Created_at,Tweet,Following,Followers,Tweets_count,Favourites,Time_Zone,Location
846129071738236928,leeyescucha,2017-03-26 22:37:45,RT @publico_es: ÚLTIMA HORA | Cassandra no irá a la cárcel por los tuits sobre Carrero Blanco https://t.co/TXnWrSt8fr,58,28,2526,1101,,
846128918683897856,La_exorsister,2017-03-26 22:37:09,"RT @EsppeonzAguirre: ➖Bromas sobre Carrero Blanco = Procesamiento
➖Burlas sobre los fusilados enterrados en CUNETAS = VOTOS
 #FelizDomingo…",302,168,7077,1984,London,Bajo la sombrita del Teide
846128167320473600,loba_esteparia,2017-03-26 22:34:10,RT @Barbijaputa: ¿Cómo se decide y quién ordena a la policía que haga búsquedas de Carrero Blanco? ¿Quién decide que hay que ignorar las am…,121,46,2233,0,Madrid,L´H City - Barcelona - Spain 
846127607037022212,luciacc18,2017-03-26 22:31:56,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",381,479,3110,4694,Athens,Cuenca
846127060632391681,kehartitastoy,2017-03-26 22:29:46,"@ranadictadora 
No, es fácil. Sólo dices que Carrero Blanco fue un militar de altos vuelos y ya está.",1488,1820,42271,43629,,"Cádiz, España"
846126188779241472,mojacar12,2017-03-26 22:26:18,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",140,430,121857,19758,Hawaii,
846126118021292032,Quenosenteran,2017-03-26 22:26:01,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",119,270,76403,154,Hawaii,ESPAÑA
846125981568040960,SoriadeAsis,2017-03-26 22:25:28,RT @fer_novato: Carrero Blanco vs Carrro Negro https://t.co/btdSejbsem,1084,95,9600,111,Hawaii,Stuttgart (Spain)
846124838976704512,anaexplosion,2017-03-26 22:20:56,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",161,190,6538,5094,Madrid,"Mordhaus, Mordland"
846124558751027201,_josemigel,2017-03-26 22:19:49,"RT @Sr_Dios: Yo una vez vi a Carrero Blanco, pero solo fue un momento.",877,202,10583,985,,Un maño con sangre andaluza 
846124294581178369,BigBadBosss,2017-03-26 22:18:46,"RT @esasOtra: “Volando voy”

Compositor: Carrero Blanco
Género: Pirotecnia
Álbum: La leyenda del tiempo
Duración: 0:3s",93,54,2945,3054,,
846124230395744256,daniel11_10,2017-03-26 22:18:31,RT @elmundotoday: Cómo hacer chistes sobre Carrero Blanco sin acabar en la Audiencia Nacional https://t.co/obO1O8ZudM https://t.co/04HAOMyB…,131,89,3641,15434,,
846124008097697792,daniel11_10,2017-03-26 22:17:38,"RT @eljueves: Normal. No lo dijo rapeando o añadiéndole un chiste de Carrero Blanco. De haberlo hecho, pena de cárcel. https://t.co/9wibfrL…",131,89,3641,15434,,
846123728429862913,kronen0701,2017-03-26 22:16:31,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",437,153,9210,3702,,
846123708796325890,jordi_berry,2017-03-26 22:16:27,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",500,200,8282,943,Athens,
846122866307420160,Bloodmoonspell,2017-03-26 22:13:06,"Eh, donde cojones estáis para hacer vuestro trabajo de una jodida vez @policia @guardiacivil tenemos q hacer un chi… https://t.co/6eNR70kzQv",389,522,13820,27795,Madrid,verdes praderas de Alderaan
846122270309388291,omalaled,2017-03-26 22:10:44,"RT @GobernoAlem: Yo no digo nada, pero va a ir una chica a la cárcel más tiempo por hacer unos chistes de Carrero Blanco, que Urdangarín po…",1182,2059,17727,567,Madrid,Barcelona
846121966235009026,GOGOR66,2017-03-26 22:09:31,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",180,68,1145,779,,
846121396170362886,Viva_RePPopular,2017-03-26 22:07:15,"RT @subversivos_: PONLE CHISTE A LA IMAGEN: 15 chistes sobre Carrero Blanco firmados por usuarios de Internet @eljueves ¡VALIENTES! ✊
https…",311,53,624,180,Madrid,Valencia
846121184697761792,doctormapache,2017-03-26 22:06:25,"RT @PDLI_: El miércoles era el juicio en la Audiencia Nacional contra @kira_95 por unos chistes en tuiter sobre Carrero Blanco.
https://t.c…",898,1591,79753,11589,Madrid,
846121118415118341,Mariscallucho,2017-03-26 22:06:09,"RT @elperdigon: Retweeted Menéame noticias (@meneame_net):

PONLE CHISTE A LA IMAGEN: 15 chistes sobre Carrero Blanco firmados... https://t…",61,22,541,95,,Quiero volar
846121038849212417,Fernando1711995,2017-03-26 22:05:50,"RT @Berlustinho: ""Joder, se me ha pasado la hora volando.""

Carrero Blanco",281,142,8612,1570,Amsterdam,
846121011389050880,AnaLlames,2017-03-26 22:05:43,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",2592,2571,195429,7473,,
846120743767281664,Antia_Ares,2017-03-26 22:04:40,RT @Alex_Frigenti: Menos mal que no dice nada de Carrero Blanco. https://t.co/jG41ZBDXUK,879,519,12031,752,,Second star to the right 
846120181726433281,dekmania,2017-03-26 22:02:26,"RT @Garrosa: Año 95, ETA atenta contra Aznar y sale el ""bombazo mix"". Nadie se escandalizó. Hoy se juzgan unos tuits sobre Carrero Blanco.…",78,38,66,30,Madrid,
846120103460716544,kimi_mh,2017-03-26 22:02:07,"RT @eljueves: Solemos elegir uno pero esta semana fue imposible. ¡Aquí tenéis vuestros 15 mejores #PonleChiste de Carrero Blanco!
https://t…",199,155,9621,4732,,dartmoor
846119646247968768,albertmoli1,2017-03-26 22:00:18,"RT @fermont1965: Los tuits son como los pimientos de padrón, los de Carrero Blanco pican los de Garcia Lorca no https://t.co/e9hiHOH0iJ",489,445,3004,886,Amsterdam,
846119549070184448,75pilicapi,2017-03-26 21:59:55,"RT @subversivos_: Si Tip y Coll podían contar chistes sobre Carrero Blanco en los años 80, y hoy te pueden llevar a la cárcel, hemos retroc…",2185,6554,129992,10954,Athens,mañolandia 
